sym_yahoo;sym_ibkr;position;exchange;type
AI.PA;AI;154;SMART;Stock
TTE.PA;TTE;250;SMART;Stock
GTT.PA;GTT;85;SMART;Stock
SLHN.SW;SLHN;38;SMART;Stock
OR.PA;OR;30;SMART;Stock
HOLN.SW;HOLN;260;SMART;Stock
AMRZ.SW;AMRZ;260;SMART;Stock
QQQ;QQQ;62;SMART;Stock
FXC.SW;FXC;177;SMART;Stock
NUCL.L;NUCL;170;LSEETF;Stock
ABBN.SW;ABBN;500;SMART;Stock
ROG.SW;RO;54;SMART;Stock
DTLA.L;DTLA;4000;LSEETF;Stock
CSBGU0.SW;CSBGU0;140;EBS;Stock
TRE7.L;TRE7;300;LSEETF;Stock
0P0000VJRQ.F;IE00B67T5G21;2830;ALLFUNDS;Bond
NA;NA;67;https://zkb-finance.mdgms.com/home/commodities/metals/detail.html?FI_ID_NOTATION=15606539;Precious Metals
