TradeNr;orig_date;sym_yahoo;sym_ibkr;init_position;init_price;init_cost;currency
24;01.03.21;NA;PM_15606539;67;331.3;-22197.1;CHF
1;01.03.21;AI.PA;AI;180;121.1;-21798.15;EUR
2;09.03.21;MC.PA;MC;28;521.18;-14593.09;EUR
3;09.03.21;TTE.PA;TTE;250;34.13;-8533.37;EUR
4;09.03.21;VT;VT;370;90.99;-33667.47;USD
5;27.07.21;SLHN.SW;SLHN;38;424.09;-16115.3;CHF
6;13.12.21;OR.PA;OR;60;406.35;-24380.97;EUR
7;13.12.21;NESN.SW;NESN;150;118.69;-17803.39;CHF
8;20.01.22;HOLN.SW;HOLN;400;46.81;-18725.32;CHF
9;09.05.23;QQQ;QQQ;62;320.74;-19885.58;USD
10;28.09.23;ABBN.SW;ABBN;500;32.92;-16460;CHF
4;16.11.23;VT;VT;-370;96.91;35856.7;USD
11;16.11.23;DTLA.L;DTLA;4000;4.3;-17181.6;USD
12;16.11.23;CSBGU0.SW;CSBGU0;140;136.72;-19140.8;USD
1;01.12.23;AI.PA;AI;-60;170.57;10234;EUR
7;15.12.23;NESN.SW;NESN;-150;96.93;14540;CHF
6;19.08.24;OR.PA;OR;-30;378.73;11361.92;EUR
13;21.08.24;ROG.SW;RO;54;285.36;-15409.35;CHF
8;21.08.24;HOLN.SW;HOLN;-140;77.77;10887.3;CHF
14;05.09.24;SXLV.L;SXLV;250;48.43;-12107.63;USD
15;05.09.24;TRE7.L;TRE7;300;39.24;-11772.92;USD
16;27.09.24;MC.PA;MC;28;607.89;17021;EUR
14;23.01.25;SXLV.L;SXLV;-250;42.59;10647.09;USD
17;23.01.25;SXLY.L;SXLY;220;69.88;-15373.88;USD
8;20.06.25;HOLN.SW;HOLN;-260;47.6;12376;CHF
18;23.06.25;HOLN.SW;HOLN;260;27.34;-7108.4;CHF
19;23.06.2025;AMRZ.SW;AMRZ;260;23.4;-6084;CHF
20;05.11.2025;FXC.SW;FXC;177;112.84;-20261.52;USD
21;06.11.2025;0P0000VJRQ.F;433080107;2830;14.21;-40210.56;EUR
17;07.11.2025;SXLY.L;SXLY;-220;72.64;15745.06;USD
22;07.11.2025;GTT.PA;GTT;85;180.27;-15323.34;EUR
23;05.12.2025;NUCL.L;NUCL;170;59.09;-10045.3;USD
