Market Cap ($) Desc;
Financial Instrument;Last;Change;Change %;26 Week IV Percentile;26 Week IV Rank;26 Week IV Low;26 Week IV High;Opt. Implied Volatility %;26 Week High;26 Week Low;
MSFT NASDAQ.NMS;450.50;-4.360000000000014;-0.009585366926087177;32.52032399177551;12.508281707763672;16.18406092401179;52.98434363471338;20.8%;460.25;344.7900085449219;
NVDA NASDAQ.NMS;131.17;-1.6599999999999966;-0.012497176842580716;44.71544623374939;28.764455795288086;32.48876754803952;91.30223050421797;49.4%;153.1300048828125;86.62000274658203;
AAPL NASDAQ.NMS;195.85;-5.510000000000019;-0.027363925307906333;83.73983502388;35.423118591308594;15.083957653106458;66.98248555239014;33.5%;259.8179931640625;169.2100067138672;
AMZN NASDAQ.NMS;200.36;-2.7399999999999807;-0.013490891186607488;47.96747863292694;18.928436279296875;22.48941467247227;68.92234966124892;31.3%;242.52000427246094;161.3800048828125;
META NASDAQ.NMS;625.98;-10.590000000000032;-0.016636033743343277;38.21138143539429;14.382476806640625;24.340382338800552;76.23573457312132;31.8%;740.9099731445312;479.79998779296875;
TSLA NASDAQ.NMS;339.86;-1.1800000000000068;-0.003460004691531805;30.894309282302856;20.76392364501953;46.92663261621062;110.79295404930036;60.2%;488.5400085449219;214.25;
AVGO NASDAQ.NMS;227.97;-2.5600000000000023;-0.011104845356352762;67.47967600822449;37.19919204711914;34.369896639371774;80.23929006953273;51.4%;251.2449951171875;138.10000610351562;
TSM NYSE;191.50;-4.689999999999998;-0.023905397828635495;25.203251838684082;11.447528839111328;30.57271501268764;79.2201440787506;36.1%;225.5240020751953;134.25999450683594;
GOOGL NASDAQ.NMS;168.13;-2.740000000000009;-0.016035582606660086;57.723575830459595;24.844575881958008;20.716233056590525;62.688430633309125;31.1%;207.0500030517578;140.52999877929688;
GOOG NASDAQ.NMS;169.29;-2.6899999999999977;-0.01564135364577275;56.91056847572327;25.341341018676758;20.34159477511978;62.01217958022729;30.9%;208.6999969482422;142.66000366210938;
WMT NYSE;96.30;0.36999999999999034;0.0038569790472218314;43.90243887901306;19.85492515563965;16.593622649502144;49.31574687045249;23.1%;104.94400024414062;80.0;
JPM NYSE;260.20;-0.4700000000000273;-0.0018030459968543648;44.71544623374939;14.372379302978516;16.50790039350582;63.32976119922885;23.2%;280.25;202.16000366210938;
LLY NYSE;714.00;-1.2000000000000455;-0.001677852348993352;82.92682766914368;32.238441467285156;24.39753100227435;69.12554490915576;38.8%;935.0599975585938;678.02001953125;
BRK B NYSE;503.20;-0.37000000000000455;-0.00073475;70.7317054271698;15.933028221130371;12.699606896308968;45.00264091845144;17.8%;542.030029296875;440.17999267578125;
VOO ARCA;532.10;-3.919999999999959;-0.007313159956717957;69.10569071769714;25.83287811279297;8.654781800452739;45.516977411286895;18.2%;563.8499755859375;442.79998779296875;
V NYSE;353.54;-4.430000000000007;-0.01237533871553484;65.04064798355103;19.2646541595459;13.325062094271594;54.997230296574294;21.4%;369.1199951171875;299.04998779296875;
TCEHY PINK.CURRENT;65.76;0.39000000000000057;0.0059660394676457175;;;;;;71.81999969482422;46.7599983215332;
SPY ARCA;579.00;-4.090000000000032;-0.007014354559330518;69.10569071769714;24.10911750793457;9.375484031657324;46.269426682333794;18.3%;613.22998046875;481.80999755859375;
IVV ARCA;581.60;-4.159999999999968;-0.007101884730947774;65.85366129875183;23.689979553222656;8.935760141948606;45.3947438787895;17.6%;616.1099853515625;484.0;
MA NYSE;563.58;-6.559999999999945;-0.011505945908022496;55.28455376625061;15.864103317260742;13.874320552697906;56.43863919426973;20.6%;588.4500122070312;466.75;
NFLX NASDAQ.NMS;1184.25;-3.7200000000000273;-0.003131392206873934;34.14634168148041;11.172941207885742;22.90373989540701;72.89733008670906;28.5%;1211.219970703125;821.0999755859375;
VTI ARCA;284.98;-1.740000000000009;-0.006068638392857174;71.54471278190613;27.21402931213379;8.773840407201591;45.39791658689491;18.7%;303.3900146484375;236.5;
COST NASDAQ.NMS;1007.49;-10.639999999999986;-0.010450531857424873;69.91869807243347;32.06745529174805;16.642833628997394;48.344226983541645;26.8%;1078.22998046875;871.7050170898438;
