Financial Instrument,Last,26 Week IV Percentile,26 Week IV Rank,26 Week IV Low,26 Week IV High,Opt. Implied Volatility %,26 Week High,26 Week Low,Industry
GILD NASDAQ.NMS,106.25,,,,,41.9%,,,Biotechnology
NEE NYSE,67.75,,,,,31.1%,,,Electric
MRVL NASDAQ.NMS,60.72,84.55284833908081,38.1450080871582,19.527231864725948,154.48435580810354,71%,127.4800033569336,47.084999084472656,Semiconductors
ORCL NYSE,155.95,80.48780560493469,48.32799530029297,21.883009029000913,73.95774198086413,47%,197.802001953125,119.01000213623047,Software
AAPL NASDAQ.NMS,195.85,83.73983502388,35.423118591308594,15.083957653106458,66.98248555239014,33.5%,259.8179931640625,169.2100067138672,Computers
DHR NYSE,183.61,83.73983502388,29.77750015258789,19.544693586735754,61.507367125423094,32%,258.0400085449219,171.0,Healthcare-Products
PLD NYSE,104.61,85.36585569381714,22.2772159576416,20.11141376717187,62.08520213322943,29.5%,124.98999786376953,85.3499984741211,REITS
BMO NYSE,102.31,72.35772609710693,24.796085357666016,10.893087451245936,52.02711424013569,21.1%,106.0,85.51000213623047,Banks
VCIT NASDAQ.NMS,80.70,86.9918704032898,8.888143539428711,3.7511463121518056,51.919165286256415,8%,82.31500244140625,78.24079895019531,
MRK NYSE,77.70,77.2357702255249,37.943626403808594,19.085920881750145,59.02935495022198,34.2%,104.23400115966797,73.31999969482422,Pharmaceuticals
ABBV NYSE,183.26,76.42276287078857,23.52058219909668,17.244477253453123,60.105651082906675,27.3%,218.60000610351562,164.38999938964844,Pharmaceuticals
AEM NYSE,118.40,82.11382031440735,24.085805892944336,28.50426604140563,55.25440002142078,34.9%,126.7300033569336,76.93000030517578,Mining
PEP NASDAQ.NMS,129.36,70.7317054271698,28.101673126220703,15.345886440111059,37.88133938397317,21.7%,163.75,127.75,Beverages
CVX NYSE,136.32,75.60975551605225,22.747699737548828,14.939498901154872,60.84381281847793,25.4%,168.9499969482422,132.05999755859375,Oil&Gas
OKE NYSE,81.14,74.79674816131592,18.363140106201172,21.1130950790867,79.70907820874018,31.9%,116.2300033569336,75.4800033569336,Pipelines
COP NYSE,85.28,75.60975551605225,28.937416076660156,17.285752027398583,71.36702622491188,32.9%,111.0199966430664,79.87999725341797,Oil&Gas
FI NYSE,159.34,71.54471278190613,29.25324249267578,15.153804541145682,59.31192408105681,28.1%,238.47999572753906,157.3699951171875,Software
XOM NYSE,103.05,72.35772609710693,20.41384506225586,17.469896242385406,55.983040675818295,25.3%,120.79000091552734,97.80999755859375,Oil&Gas
VIG ARCA,194.33,73.17073345184326,27.963895797729492,7.530866216826134,37.70195570957321,16%,205.24000549316406,169.32000732421875,
JNJ NYSE,152.78,75.60975551605225,26.360645294189453,12.28528167337423,39.64181981843198,19.5%,169.99000549316406,139.55099487304688,Pharmaceuticals
SNY NASDAQ.NMS,51.29,73.98374080657959,19.0977783203125,16.23168407102558,58.1181579133191,24.2%,60.1150016784668,45.79999923706055,Pharmaceuticals
VTV ARCA,168.52,73.17073345184326,23.27396011352539,8.605570820957487,36.36214739268872,15.1%,181.27499389648438,150.42999267578125,
EFA ARCA,87.96,84.55284833908081,34.6147575378418,7.110191881608685,36.88759279917938,17.4%,88.88500213623047,72.1449966430664,
EOG NYSE,109.95,77.2357702255249,27.32345962524414,19.10655826872287,63.00115971071919,31.1%,137.7899932861328,102.5199966430664,Oil&Gas
KKR NYSE,116.95,71.54471278190613,21.566560745239258,24.91821586817814,101.67146259909782,41.5%,170.1699981689453,86.1500015258789,Private Equity
MPLX NYSE,50.60,72.35772609710693,6.933668613433838,11.302649915950667,154.04622049009066,21.2%,54.849998474121094,44.61000061035156,Pipelines
BN NYSE,56.50,68.29268336296082,27.755212783813477,19.050997437730537,68.6080357082149,32.8%,62.779998779296875,43.61000061035156,Private Equity
IJH ARCA,59.54,74.79674816131592,20.804122924804688,14.029889696733456,49.81261720599188,21.5%,68.05169677734375,50.150001525878906,
NVS NYSE,112.52,69.91869807243347,23.453834533691406,14.015603639686569,44.1216067849813,21.1%,114.83999633789062,92.69529724121094,Pharmaceuticals
SPLG ARCA,68.15,68.29268336296082,24.842451095581055,9.621538929133578,44.712138538924314,18.3%,72.13500213623047,56.66999816894531,
SHEL NYSE,65.80,65.85366129875183,7.481043338775635,12.280519654358601,135.22064204129242,21.5%,74.17500305175781,58.55500030517578,Oil&Gas
SPG NYSE,156.77,69.91869807243347,20.042329788208008,17.655628289853695,54.67656501361444,25.1%,190.13499450683594,136.33999633789062,REITS
VYM ARCA,126.38,67.47967600822449,17.65264892578125,8.659543819468366,42.937367612132356,14.7%,135.08999633789062,112.0999984741211,
AZN NASDAQ.NMS,70.83,56.09756112098694,21.365585327148438,14.260070704681366,70.8780920949223,26.4%,78.3550033569336,61.2400016784668,Pharmaceuticals
RSP ARCA,174.42,64.2276406288147,20.663835525512695,7.984877642010489,49.44274094353676,16.6%,187.49200439453125,150.35000610351562,
ITOT ARCA,126.52,68.29268336296082,28.392173767089844,8.28331844473054,45.85034239724094,18.9%,134.67999267578125,105.0,
IVW ARCA,101.00,64.2276406288147,25.215991973876953,12.510699183877758,47.23936169362069,21.3%,107.13999938964844,79.30999755859375,
BX NYSE,135.75,61.78861856460571,21.883602142333984,21.8322102170242,86.82720999197055,36.1%,199.0959930419922,115.66000366210938,Private Equity
TTE NYSE,57.80,61.78861856460571,11.033246040344238,18.855739873802236,51.4000712096916,22.4%,65.75,51.8026008605957,Oil&Gas
IJR ARCA,104.20,69.10569071769714,24.182071685791016,14.27912025917263,48.38232609252418,22.5%,127.41100311279297,89.25,
IWD ARCA,186.27,73.98374080657959,22.661754608154297,9.331035810392077,38.7036384999168,16%,199.3800048828125,163.19000244140625,
ABT NYSE,131.37,64.2276406288147,24.52622413635254,14.825203052636024,46.68851392428416,22.6%,141.00999450683594,110.70099639892578,Healthcare-Products
BAM NYSE,56.56,63.41463327407837,27.140047073364258,21.030548488053295,66.96026181136472,33.5%,62.5099983215332,41.79999923706055,Diversified Finan Serv
UPS NYSE,95.38,61.78861856460571,20.11180305480957,18.3350564863272,64.93467248965212,27.7%,136.7030029296875,90.5999984741211,Transportation
CM NYSE,68.14,61.78861856460571,24.74595832824707,13.696524710779414,46.747251898668175,21.9%,68.33999633789062,53.63999938964844,Banks
HSBC NYSE,59.24,56.91056847572327,21.51453399658203,13.1059929568364,60.42154991156464,23.3%,60.19499969482422,44.83300018310547,Banks
PM NYSE,178.67,59.34959053993225,22.382165908813477,16.117388222506733,44.18034180250781,22.4%,178.69000244140625,116.16999816894531,Agriculture
MDT NYSE,80.99,56.91056847572327,24.072967529296875,12.785329152305291,46.483733800753356,20.9%,96.20999908447266,78.83419799804688,Healthcare-Products
TXN NASDAQ.NMS,175.95,,,,,31.7%,,,Semiconductors
NVO NYSE,67.30,,,,,48.8%,,,Pharmaceuticals
