Financial Instrument,Industry, Last,26 Week IV Percentile,26 Week IV Rank,26 Week IV Low,26 Week IV High,Opt. Implied Volatility %,26 Week High,26 Week Low
GILD NASDAQ.NMS,Biotechnology,107.99,95.12194991111755,67.92559814453125,19.1764051567621,52.08425846832323,41.5%,119.95999908447266,88.56999969482422
NEE NYSE,Electric,67.14,87.80487775802612,27.285869598388672,21.829036030490034,54.68767688412716,30.8%,79.37999725341797,61.75
VCIT NASDAQ.NMS,,81.21,65.85366129875183,5.401088714599609,3.7511463121518056,51.919165286256415,6.4%,82.31500244140625,78.24079895019531
MRK NYSE,Pharmaceuticals,75.86,84.55284833908081,44.13156509399414,19.085920881750145,59.02935495022198,36.7%,104.23400115966797,73.31999969482422
NVO NYSE,Pharmaceuticals,68.59,82.11382031440735,53.567996978759766,27.045399856986656,73.71169004024539,52%,110.68399810791016,57.0
ABBV NYSE,Pharmaceuticals,184.02,81.30081295967102,28.701597213745117,17.244477253453123,60.105651082906675,29.5%,218.60000610351562,164.38999938964844
DHR NYSE,Healthcare-Products,189.85,81.30081295967102,28.302927017211914,19.544693586735754,61.507367125423094,31.4%,258.0400085449219,171.0
MRVL NASDAQ.NMS,Semiconductors,65.19,80.48780560493469,37.660518646240234,19.527231864725948,154.48435580810354,70.4%,127.4800033569336,47.084999084472656
ORCL NYSE,Software,162.04,78.04877758026123,47.36153793334961,21.883009029000913,73.95774198086413,46.5%,197.802001953125,119.01000213623047
BND NASDAQ.NMS,,72.39,76.42276287078857,14.172520637512207,3.71304757277646,19.519421325620215,6%,74.33999633789062,70.42839813232422
TLT NASDAQ.NMS,,85.38,76.42276287078857,25.186954498291016,11.03278270575314,30.09648058569223,15.8%,94.08999633789062,83.29499816894531
CVX NYSE,Oil&Gas,137.13,73.17073345184326,21.23664665222168,14.939498901154872,60.84381281847793,24.7%,168.9499969482422,132.05999755859375
NKE NYSE,Apparel,61.87,71.54471278190613,45.20940017700195,21.35280012506587,70.79236688206846,43.7%,82.43499755859375,52.279998779296875
NXPI NASDAQ.NMS,Semiconductors,198.14,71.54471278190613,20.899005889892578,28.255035478966455,85.21753224724539,40.2%,255.4499969482422,148.08999633789062
MU NASDAQ.NMS,Semiconductors,96.30,70.7317054271698,42.269676208496094,35.98751058964673,92.59917917153307,59.9%,111.89199829101562,61.540000915527344
COP NYSE,Oil&Gas,85.28,68.29268336296082,25.498512268066406,17.285752027398583,71.36702622491188,31.1%,108.13300323486328,79.87999725341797
FI NYSE,Software,158.09,68.29268336296082,28.15028190612793,15.153804541145682,59.31192408105681,27.6%,238.47999572753906,157.3699951171875
IEFA BATS,,82.24,68.29268336296082,32.37014389038086,7.167340545082486,34.33020969790778,16%,83.18000030517578,66.94999694824219
MPLX NYSE,Pipelines,50.97,68.29268336296082,6.529384613037109,11.302649915950667,154.04622049009066,20.6%,54.849998474121094,44.61000061035156
OKE NYSE,Pipelines,81.11,68.29268336296082,16.405675888061523,21.1130950790867,79.70907820874018,30.7%,113.0530014038086,75.4800033569336
PEP NASDAQ.NMS,Beverages,131.02,67.47967600822449,26.96897315979004,15.345886440111059,37.88133938397317,21.4%,163.75,127.75
IWD ARCA,,188.35,66.66666865348816,17.444961547851562,9.331035810392077,38.7036384999168,14.5%,199.3800048828125,163.19000244140625
NVS NYSE,Pharmaceuticals,111.93,66.66666865348816,22.551227569580078,14.015603639686569,44.1216067849813,20.8%,114.83999633789062,92.69529724121094
IJH ARCA,,60.44,65.85366129875183,16.933734893798828,14.029889696733456,49.81261720599188,20.1%,67.91220092773438,50.150001525878906
XOM NYSE,Oil&Gas,102.62,65.85366129875183,16.87742042541504,17.469896242385406,55.983040675818295,24%,119.9000015258789,97.80999755859375
JNJ NYSE,Pharmaceuticals,152.21,64.2276406288147,23.86792755126953,12.28528167337423,39.64181981843198,18.8%,169.99000549316406,139.55099487304688
AZN NASDAQ.NMS,Pharmaceuticals,70.40,58.53658318519592,21.59318733215332,14.260070704681366,70.8780920949223,26.5%,78.3550033569336,61.2400016784668
PLD NYSE,REITS,107.72,60.16260385513306,15.895803451538086,20.11141376717187,62.08520213322943,26.8%,124.98999786376953,85.3499984741211
SNY NASDAQ.NMS,Pharmaceuticals,51.99,59.34959053993225,16.716285705566406,16.23168407102558,58.1181579133191,23.2%,60.1150016784668,45.79999923706055
EOG NYSE,Oil&Gas,111.01,58.53658318519592,20.134544372558594,19.10655826872287,63.00115971071919,27.9%,137.7899932861328,102.5199966430664
KKR NYSE,Private Equity,121.08,58.53658318519592,17.39421844482422,24.91821586817814,101.67146259909782,38.3%,170.1699981689453,86.1500015258789
VIG ARCA,,197.01,58.53658318519592,21.441246032714844,7.530866216826134,37.70195570957321,14%,205.24000549316406,169.32000732421875
ABT NYSE,Healthcare-Products,132.46,54.47154641151428,22.42514419555664,14.825203052636024,46.68851392428416,22%,141.00999450683594,110.70099639892578
