Financial Instrument,Industry,Last,26 Week IV Percentile,26 Week IV Rank,26 Week IV Low,26 Week IV High,Opt. Implied Volatility %,26 Week High,26 Week Low
AMGN NASDAQ.NMS,Biotechnology,279.85,95.12194991111755,52.901729583740234,18.00327933285462,54.71307629011552,37.4%,335.8800048828125,251.24099731445312
GILD NASDAQ.NMS,Biotechnology,107.84,95.12194991111755,67.83739471435547,19.1764051567621,52.08425846832323,41.5%,119.95999908447266,88.56999969482422
SNPS NASDAQ.NMS,Software,500.12,90.24389982223511,43.03504943847656,27.25017998051746,64.88228880205145,43.4%,592.989990234375,365.739990234375
UNH NYSE,Healthcare-Services,299.46,89.43089246749878,32.64017105102539,18.781130966747384,88.26385243536409,41.5%,620.0869750976562,248.9199981689453
NEE NYSE,Electric,67.19,85.36585569381714,25.196523666381836,21.829036030490034,54.68767688412716,30.1%,79.37999725341797,61.75
LLY NYSE,Pharmaceuticals,715.12,84.55284833908081,35.525726318359375,24.39753100227435,69.12554490915576,40.3%,935.0599975585938,678.02001953125
MRK NYSE,Pharmaceuticals,75.82,84.55284833908081,44.96870803833008,19.085920881750145,59.02935495022198,37%,104.23400115966797,73.31999969482422
NVO NYSE,Pharmaceuticals,68.47,83.73983502388,54.31278610229492,27.045399856986656,73.71169004024539,52.4%,110.68399810791016,57.0
ACN NYSE,Computers,315.58,82.11382031440735,52.986183166503906,16.865076952966756,51.26672284982398,35.1%,398.3500061035156,275.92999267578125
ORCL NYSE,Software,162.08,82.11382031440735,48.65692901611328,21.883009029000913,73.95774198086413,47.2%,197.802001953125,119.01000213623047
ABBV NYSE,Pharmaceuticals,184.07,81.30081295967102,28.92449188232422,17.244477253453123,60.105651082906675,29.6%,218.60000610351562,164.38999938964844
DHR NYSE,Healthcare-Products,189.96,81.30081295967102,28.322113037109375,19.544693586735754,61.507367125423094,31.4%,258.0400085449219,171.0
MRVL NASDAQ.NMS,Semiconductors,65.16,80.48780560493469,37.268184661865234,19.527231864725948,154.48435580810354,69.8%,127.4800033569336,47.084999084472656
TMO NYSE,Healthcare-Products,402.90,80.48780560493469,35.53062438964844,17.574668052873,61.04224752579791,33%,610.8699951171875,390.7300109863281
MMC NYSE,Insurance,230.15,64.2276406288147,16.13115119934082,13.991790587750922,45.19789996080849,19%,248.0,207.31900024414062
