Financial Instrument,Industry,Last,26 Week IV Percentile,26 Week IV Rank,26 Week IV Low,26 Week IV High,Opt. Implied Volatility %,26 Week High,26 Week Low
TLT NASDAQ.NMS,,85.39,77.2357702255249,25.38207244873047,11.03278270575314,30.09648058569223,15.9%,94.08999633789062,83.29499816894531
MMC NYSE,Insurance,230.12,73.17073345184326,17.52440643310547,13.991790587750922,45.19789996080849,19.5%,248.0,207.31900024414062
GLD ARCA,,304.14,71.54471278190613,37.76303482055664,12.888513130311422,26.872367512512547,18.2%,317.5799865722656,238.75
VO ARCA,,269.86,70.7317054271698,22.464906692504883,10.343828992819622,41.329280656746164,17.3%,284.32598876953125,223.67999267578125
IEFA BATS,,82.28,69.10569071769714,32.62168884277344,7.167340545082486,34.33020969790778,16%,83.18000030517578,66.94999694824219
JNJ NYSE,Pharmaceuticals,152.04,64.2276406288147,23.69062042236328,12.28528167337423,39.64181981843198,18.8%,169.99000549316406,139.55099487304688
IJH ARCA,,60.44,60.975611209869385,14.899545669555664,14.029889696733456,49.81261720599188,19.4%,67.91220092773438,50.150001525878906
ITOT ARCA,,128.97,55.28455376625061,21.455949783325195,8.28331844473054,45.85034239724094,16.3%,134.67999267578125,105.0
SPLG ARCA,,69.44,53.658539056777954,17.745769500732422,9.621538929133578,44.712138538924314,15.8%,72.13500213623047,56.66999816894531
RSP ARCA,,176.74,53.658539056777954,17.140708923339844,7.984877642010489,49.44274094353676,15.1%,187.49200439453125,150.35000610351562
CME NASDAQ.NMS,Diversified Finan Serv,286.34,52.84552574157715,25.13906478881836,12.49164962938649,37.10031208511749,18.7%,286.4800109863281,224.6199951171875
IVV ARCA,,593.15,52.84552574157715,18.230955123901367,8.935760141948606,45.3947438787895,15.6%,616.1099853515625,484.0
IWF ARCA,,400.60,52.03251838684082,17.76508140563965,13.380622925263932,48.04578544160722,19.5%,419.0929870605469,308.6700134277344
VTI ARCA,,290.45,52.03251838684082,18.219539642333984,8.773840407201591,45.39791658689491,15.4%,303.3900146484375,236.5
ITW NYSE,Miscellaneous Manufactur,244.55,51.21951103210449,18.854846954345703,13.096468918805144,46.64406644223329,19.4%,278.0199890136719,214.69000244140625
VOO ARCA,,542.62,51.21951103210449,18.183320999145508,8.654781800452739,45.516977411286895,15.4%,563.8499755859375,442.79998779296875
WCN NYSE,Environmental Control,195.70,51.21951103210449,20.817447662353516,13.579054675726399,38.046432566039975,18.7%,201.66000366210938,169.11399841308594
SPY ARCA,,590.29,50.406503677368164,15.968259811401367,9.375484031657324,46.269426682333794,15.3%,613.22998046875,481.80999755859375
VUG ARCA,,414.76,49.593496322631836,17.16997528076172,13.232989986778179,49.51735132902037,19.5%,429.0,316.32000732421875
IVW ARCA,,103.98,48.78048896789551,18.068695068359375,12.510699183877758,47.23936169362069,18.8%,107.13999938964844,79.30999755859375
KO NYSE,Beverages,71.20,44.71544623374939,18.813722610473633,12.817076931361981,35.644618608803924,17.1%,74.37999725341797,60.6150016784668
MO NYSE,Agriculture,59.49,43.90243887901306,18.63460922241211,13.109168621799322,40.65143881432537,18.2%,61.2599983215332,50.099998474121094
