Financial Instrument,Industry,Last,26 Week IV Percentile,26 Week IV Rank,26 Week IV Low,26 Week IV High,Opt. Implied Volatility %,26 Week High,26 Week Low
WCN NYSE,Environmental Control,195.69,50.406503677368164,20.661252975463867,13.579054675726399,38.046432566039975,18.6%,201.66000366210938,169.11399841308594
AON NYSE,Insurance,362.00,38.21138143539429,15.520736694335938,14.342617295714769,43.8025293345029,18.9%,412.8699951171875,324.17999267578125
JNJ NYSE,Pharmaceuticals,152.16,61.78861856460571,23.423276901245117,12.28528167337423,39.64181981843198,18.7%,169.99000549316406,139.55099487304688
BUD NYSE,Beverages,69.96,7.31707289814949,8.743047714233398,16.34280573301026,44.004136749928286,18.8%,70.72000122070312,45.95000076293945
CME NASDAQ.NMS,Diversified Finan Serv,286.25,54.47154641151428,25.392959594726562,12.49164962938649,37.10031208511749,18.7%,286.4800109863281,224.6199951171875
CB NYSE,Insurance,288.68,32.52032399177551,6.704582691192627,16.371379325532782,52.02393857517277,18.8%,306.9100036621094,252.1699981689453
CL NYSE,Cosmetics/Personal Care,92.02,40.65040647983551,28.349721908569336,10.608933444787146,39.419576494462625,18.8%,100.18000030517578,85.31999969482422
MSFT NASDAQ.NMS,Software,458.31,17.073170840740204,7.317234516143799,16.18406092401179,52.98434363471338,18.9%,460.95001220703125,344.7900085449219
V NYSE,Diversified Finan Serv,360.15,38.21138143539429,13.367242813110352,13.325062094271594,54.997230296574294,18.9%,369.1199951171875,299.04998779296875
AEP NASDAQ.NMS,Electric,101.49,36.58536672592163,27.934818267822266,11.016908816224793,39.583084800905475,19%,110.4800033569336,89.07420349121094
IVW ARCA,,103.93,48.78048896789551,18.68715476989746,12.510699183877758,47.23936169362069,19%,107.13999938964844,79.30999755859375
AFL NYSE,Insurance,102.68,36.58536672592163,13.96203327178955,14.196572189710476,48.96491868405989,19.1%,114.7249984741211,97.5
VB ARCA,,229.44,42.276424169540405,14.036084175109863,14.839490588111662,45.001056042827486,19.1%,261.54400634765625,190.72999572753906
MMC NYSE,Insurance,230.10,64.2276406288147,16.353519439697266,13.991790587750922,45.19789996080849,19.1%,248.0,207.31900024414062
IJR ARCA,,105.78,39.024388790130615,14.420787811279297,14.27912025917263,48.38232609252418,19.2%,126.68699645996094,89.25
ITW NYSE,Miscellaneous Manufactur,244.66,51.21951103210449,18.574674606323242,13.096468918805144,46.64406644223329,19.3%,278.0199890136719,214.69000244140625
ADP NASDAQ.NMS,Commercial Services,324.77,57.723575830459595,22.07575035095215,11.858257486659692,45.25822281081646,19.2%,326.0,272.61700439453125
IJH ARCA,,60.43,60.975611209869385,14.904504776000977,14.029889696733456,49.81261720599188,19.4%,67.91220092773438,50.150001525878906
QQQ NASDAQ.NMS,,521.66,43.08943152427673,16.324745178222656,13.22346447031817,51.30005846136213,19.4%,540.8099975585938,402.3900146484375
SO NYSE,Electric,87.73,55.28455376625061,26.814682006835938,12.875813427317246,37.47495184501698,19.5%,93.5999984741211,79.78179931640625
VUG ARCA,,414.50,49.593496322631836,17.288652420043945,13.232989986778179,49.51735132902037,19.5%,429.0,316.32000732421875
NGG NYSE,Electric,72.53,12.195122241973877,15.330257415771484,13.988616401216753,50.31107833087023,19.6%,74.81999969482422,55.81999969482422
IWF ARCA,,400.40,52.84552574157715,17.920679092407227,13.380622925263932,48.04578544160722,19.6%,419.0929870605469,308.6700134277344
HDB NYSE,Banks,74.12,27.642276883125305,13.352823257446289,16.0554775400173,43.52789936607537,19.7%,75.37000274658203,57.779998779296875
TRI NASDAQ.NMS,Media,196.70,54.47154641151428,18.997528076171875,13.760023225750304,45.68683409079809,19.8%,196.73500061035156,151.4759979248047
TJX NYSE,Retail,126.74,43.08943152427673,20.70826530456543,13.983854382201125,42.3722352641777,19.9%,135.85000610351562,112.13999938964844
