Financial Instrument,Industry,Last,26 Week IV Percentile,26 Week IV Rank,26 Week IV Low,26 Week IV High,Opt. Implied Volatility %,26 Week High,26 Week Low
NEE NYSE,Electric,67.12,80.48780560493469,24.030912399291992,21.829036030490034,54.68767688412716,29.7%,79.37999725341797,61.75
NVS NYSE,Pharmaceuticals,111.80,76.42276287078857,24.518260955810547,14.015603639686569,44.1216067849813,21.4%,114.83999633789062,92.69529724121094
CVX NYSE,Oil&Gas,137.14,73.17073345184326,21.046354293823242,14.939498901154872,60.84381281847793,24.6%,168.9499969482422,132.05999755859375
AAPL NASDAQ.NMS,Computers,201.18,71.54471278190613,27.7405948638916,15.083957653106458,66.98248555239014,29.5%,259.8179931640625,169.2100067138672
SNY NASDAQ.NMS,Pharmaceuticals,51.86,71.54471278190613,18.081693649291992,16.23168407102558,58.1181579133191,23.8%,60.1150016784668,45.79999923706055
MPLX NYSE,Pipelines,50.93,70.7317054271698,6.768618106842041,11.302649915950667,154.04622049009066,21%,54.849998474121094,44.61000061035156
PEP NASDAQ.NMS,Beverages,130.82,69.10569071769714,27.53477668762207,15.345886440111059,37.88133938397317,21.6%,163.75,127.75
PLD NYSE,REITS,107.85,66.66666865348816,16.944358825683594,20.11141376717187,62.08520213322943,27.2%,124.98999786376953,85.3499984741211
ROP NASDAQ.NMS,Software,572.26,66.66666865348816,25.715585708618164,12.201146510644989,48.59980591904915,21.6%,595.1669921875,499.4700012207031
XOM NYSE,Oil&Gas,102.70,66.66666865348816,17.026018142700195,17.469896242385406,55.983040675818295,24%,119.9000015258789,97.80999755859375
COR NYSE,Pharmaceuticals,290.24,65.85366129875183,26.807531356811523,16.866664785448215,39.51799845345313,22.9%,309.05999755859375,223.41299438476562
FI NYSE,Software,158.29,64.2276406288147,27.36001205444336,15.153804541145682,59.31192408105681,27.2%,238.47999572753906,157.3699951171875
AJG NYSE,Insurance,340.45,60.975611209869385,19.114526748657227,17.023821761965227,45.69635812882934,22.5%,350.57000732421875,275.6300048828125
