Financial Instrument,Industry,Last,26 Week IV Percentile,26 Week IV Rank,26 Week IV Low,26 Week IV High,Opt. Implied Volatility %,26 Week High,26 Week Low
BLK NYSE,Diversified Finan Serv,976.26,43.90243887901306,10.896610260009766,17.71753749391437,61.843904819482546,22.5%,1083.3800048828125,775.0
AJG NYSE,Insurance,340.42,62.60162591934204,19.24879264831543,17.023821761965227,45.69635812882934,22.5%,350.57000732421875,275.6300048828125
SYK NYSE,Healthcare-Products,381.27,60.16260385513306,19.078205108642578,16.203110478503056,49.63641215341235,22.6%,405.5899963378906,329.3800048828125
SRE NYSE,Electric,77.60,37.39837408065796,24.56170082092285,13.914006015733147,49.35225814695357,22.6%,94.2333984375,61.93000030517578
AMT NYSE,REITS,211.29,22.76422828435898,9.464733123779297,20.41620516060339,43.76919372296475,22.6%,233.66000366210938,172.50999450683594
WELL NYSE,REITS,151.01,41.46341383457184,14.11358642578125,18.260446100843595,49.40781749951715,22.7%,158.4199981689453,122.56099700927734
XLK ARCA,,232.69,50.406503677368164,15.185221672058105,15.344298607629597,64.70766862509588,22.8%,243.13999938964844,172.4499969482422
IBM NYSE,Computers,261.24,31.707316637039185,12.79163932800293,17.288926213932747,60.88032409497901,22.9%,269.1000061035156,213.42599487304688
COR NYSE,Pharmaceuticals,289.99,66.66666865348816,27.14406967163086,16.866664785448215,39.51799845345313,23%,309.05999755859375,223.41299438476562
TT NYSE,Building Materials,433.92,15.447154641151428,9.255399703979492,19.73995115066405,54.497184296072,23%,436.6099853515625,301.6199951171875
MCO NYSE,Commercial Services,482.28,52.03251838684082,15.415534973144531,17.944544315328116,51.909638291367656,23.2%,529.5139770507812,379.4800109863281
NSC NYSE,Transportation,243.96,31.707316637039185,14.696945190429688,17.539743130424633,55.34171010989857,23.1%,275.9129943847656,202.00999450683594
SCHW NYSE,Diversified Finan Serv,88.52,21.138212084770203,6.206214427947998,20.387630089652113,64.57591105456723,23.1%,89.80999755859375,65.91999816894531
SPG NYSE,REITS,160.84,52.84552574157715,14.945178031921387,17.655628289853695,54.67656501361444,23.2%,190.13499450683594,136.33999633789062
NOC NYSE,Aerospace/Defense,476.31,43.08943152427673,17.067462921142578,18.45094016732751,46.79487504568197,23.3%,544.5800170898438,427.0
INTU NASDAQ.NMS,Software,756.83,5.691057071089745,3.7163121700286865,22.33860754745235,53.293897047160534,23.5%,751.9600219726562,532.64501953125
EQIX NASDAQ.NMS,REITS,880.11,24.390244483947754,19.36775016784668,16.582510778989427,52.37634868033181,23.5%,988.969970703125,701.4099731445312
LMT NYSE,Aerospace/Defense,470.79,47.15447127819061,24.850261688232422,17.12065736690302,43.00880528951054,23.6%,526.68701171875,419.0
RIO NYSE,Mining,60.19,22.76422828435898,10.250633239746094,21.046422377581646,47.88386496764582,23.8%,65.91000366210938,51.66999816894531
HCA NYSE,Healthcare-Services,381.09,6.5040647983551025,6.466614723205566,21.9465075439718,51.07305459680589,23.8%,388.3699951171875,290.0
DLR NYSE,REITS,170.04,29.26829159259796,13.286323547363281,17.61752918087116,64.77593063751115,23.9%,196.718994140625,129.9499969482422
PNC NYSE,Banks,175.20,38.21138143539429,13.747117042541504,18.39696716881663,58.76425493354071,23.9%,214.3990020751953,145.13999938964844
APD NYSE,Chemicals,272.92,44.71544623374939,17.634540557861328,16.787292380948983,57.426034449137674,24%,341.05999755859375,244.1999969482422
SNY NASDAQ.NMS,Pharmaceuticals,51.85,73.17073345184326,18.4979305267334,16.23168407102558,58.1181579133191,24%,60.1150016784668,45.79999923706055
MET NYSE,Insurance,78.51,43.90243887901306,18.495506286621094,14.929974863123615,64.13777573655435,24%,88.48870086669922,65.26000213623047
XOM NYSE,Oil&Gas,102.62,66.66666865348816,17.10127067565918,17.469896242385406,55.983040675818295,24.1%,119.9000015258789,97.80999755859375
LOW NYSE,Retail,225.46,38.21138143539429,18.63396644592285,17.560380517397363,52.70971662314336,24.1%,279.135009765625,206.5800018310547
MCK NYSE,Pharmaceuticals,715.89,54.47154641151428,28.1627140045166,15.091895337085006,47.24412223420756,24.1%,730.1199951171875,558.25
PGR NYSE,Insurance,276.98,42.276424169540405,19.87264633178711,16.70315647900536,54.975006555548866,24.3%,292.989990234375,230.0
ADSK NASDAQ.NMS,Software,301.36,21.95121943950653,10.083398818969727,20.948000418591143,55.598873921030034,24.4%,317.04998779296875,232.6699981689453
JCI NYSE,Building Materials,101.25,28.455284237861633,15.00303840637207,18.422366574804986,58.66583297455021,24.5%,101.05000305175781,68.08000183105469
CVX NYSE,Oil&Gas,137.01,73.17073345184326,20.939605712890625,14.939498901154872,60.84381281847793,24.6%,168.9499969482422,132.05999755859375
DE NYSE,Machinery-Diversified,509.42,32.52032399177551,23.211454391479492,15.11094341314752,56.01955195231937,24.6%,533.719970703125,403.0299987792969
CAT NYSE,Machinery-Constr&Mining,350.93,34.14634168148041,10.26025390625,20.478115843092816,62.20743270886933,24.8%,410.5870056152344,267.30999755859375
