Financial Instrument,Industry,Last,26 Week IV Percentile,26 Week IV Rank,26 Week IV Low,26 Week IV High,Opt. Implied Volatility %,26 Week High,26 Week Low
BN NYSE,Private Equity,57.99,52.03251838684082,22.4697208404541,19.050997437730537,68.6080357082149,30.2%,62.779998779296875,43.61000061035156
HWM NYSE,Aerospace/Defense,170.83,24.390244483947754,13.481452941894531,23.12915740591054,76.26748530903552,30.3%,169.80999755859375,105.05999755859375
ABBV NYSE,Pharmaceuticals,183.40,82.92682766914368,30.411523818969727,17.244477253453123,60.105651082906675,30.3%,218.60000610351562,164.38999938964844
OKE NYSE,Pipelines,81.08,66.66666865348816,15.928492546081543,21.1130950790867,79.70907820874018,30.4%,113.0530014038086,75.4800033569336
CRH NYSE,Building Materials,92.83,46.341463923454285,22.716426849365234,19.060521475761792,70.62251315941478,30.8%,110.47899627685547,76.75
ADI NASDAQ.NMS,Semiconductors,217.63,40.65040647983551,14.752939224243164,23.591105775859063,73.58945355089047,31%,247.10000610351562,158.64999389648438
COF NYSE,Diversified Finan Serv,192.32,34.959349036216736,13.262983322143555,23.53395859081402,79.68685446771474,31%,210.64999389648438,143.3300018310547
COP NYSE,Oil&Gas,85.05,68.29268336296082,25.71308135986328,17.285752027398583,71.36702622491188,31.2%,108.13300323486328,79.87999725341797
DHR NYSE,Healthcare-Products,190.12,82.92682766914368,28.588245391845703,19.544693586735754,61.507367125423094,31.5%,258.0400085449219,171.0
PWR NYSE,Commercial Services,340.79,28.455284237861633,14.994915962219238,25.823061575155176,66.92692619982657,32%,365.8800048828125,227.5
BAM NYSE,Diversified Finan Serv,56.65,55.28455376625061,23.4073429107666,21.030548488053295,66.96026181136472,31.8%,62.5099983215332,41.79999923706055
GE NYSE,Aerospace/Defense,244.16,65.04064798355103,21.262954711914062,22.210024163457863,68.49056567316188,32.1%,242.24000549316406,159.33599853515625
QCOM NASDAQ.NMS,Semiconductors,148.74,34.959349036216736,11.973814010620117,26.396133085517135,74.6054238767097,32.2%,177.0,120.802001953125
ABNB NASDAQ.NMS,Internet,129.07,28.455284237861633,29.30227279663086,11.155016977464914,83.22369366144699,32.3%,163.92999267578125,99.87999725341797
CDNS NASDAQ.NMS,Software,311.04,37.39837408065796,16.484172821044922,26.107215581613964,66.31734636982104,32.7%,326.19000244140625,221.55999755859375
NEM NYSE,Mining,52.76,32.52032399177551,20.46834373474121,24.746769877756737,63.7218641595669,32.7%,57.150001525878906,36.6416015625
SCCO NYSE,Mining,92.10,12.195122241973877,10.073531150817871,28.63919927689721,72.40362950241757,33%,105.08499908447266,74.1261978149414
ASML NASDAQ.NMS,Semiconductors,751.48,32.52032399177551,10.109659194946289,28.58998829740196,73.13068528119113,33.1%,783.18798828125,578.510009765625
NTES NASDAQ.NMS,Software,124.17,0.8130080997943878,10.166777610778809,29.572620054825517,68.09528704786091,33.5%,124.41999816894531,85.67630004882812
