Financial Instrument,Industry,Last,26 Week IV Percentile,26 Week IV Rank,26 Week IV Low,26 Week IV High,Opt. Implied Volatility %,26 Week High,26 Week Low
LLY NYSE,Pharmaceuticals,718.25,84.55284833908081,36.03822326660156,24.39753100227435,69.12554490915576,40.5%,935.0599975585938,678.02001953125
SPOT NYSE,Internet,660.83,41.46341383457184,22.66965675354004,26.111979079058344,90.28149963781188,40.7%,670.9199829101562,443.94500732421875
REGN NASDAQ.NMS,Biotechnology,593.55,82.11382031440735,37.81617736816406,25.637329527686887,67.4174452054401,41.4%,799.989013671875,520.5
NET NYSE,Software,162.23,21.138212084770203,24.709787368774414,19.104970436241413,110.12304841242934,41.6%,177.22000122070312,89.4800033569336
FDX NYSE,Transportation,217.99,70.7317054271698,55.274620056152344,18.67318349129687,60.40885316542798,41.7%,302.9200134277344,194.33999633789062
UNH NYSE,Healthcare-Services,300.09,90.24389982223511,33.708717346191406,18.781130966747384,88.26385243536409,42.2%,620.0869750976562,248.9199981689453
SNPS NASDAQ.NMS,Software,502.83,84.55284833908081,39.927974700927734,27.25017998051746,64.88228880205145,42.3%,592.989990234375,365.739990234375
ANET NYSE,Telecommunications,93.18,34.959349036216736,25.79441261291504,26.372161841704845,88.63055007599877,42.4%,133.0399932861328,59.5099983215332
GILD NASDAQ.NMS,Biotechnology,107.57,96.74796462059021,70.8263931274414,19.1764051567621,52.08425846832323,42.5%,119.95999908447266,88.56999969482422
CRM NYSE,Software,275.05,71.54471278190613,55.245582580566406,23.130745238392,58.80235108566574,42.8%,368.5840148925781,230.0
AMD NASDAQ.NMS,Semiconductors,113.63,42.276424169540405,17.33730125427246,33.596808502923395,91.11491358112573,43.6%,144.1199951171875,76.4800033569336
NKE NYSE,Apparel,61.94,71.54471278190613,45.58831787109375,21.35280012506587,70.79236688206846,43.9%,82.43499755859375,52.279998779296875
IBIT NASDAQ.NMS,,61.17,16.260161995887756,24.157917022705078,34.40005954280451,74.02759478261837,44%,63.70000076293945,42.97999954223633
ADBE NASDAQ.NMS,Software,413.54,78.04877758026123,76.25009155273438,22.222723866452043,50.87461988948591,44.1%,557.9000244140625,332.010009765625
GEV NYSE,Machinery-Constr&Mining,485.19,12.195122241973877,8.941198348999023,40.19107975528705,102.76838576975398,45.8%,475.7799987792969,252.5
NVDA NASDAQ.NMS,Semiconductors,136.73,37.39837408065796,24.665502548217773,32.48876754803952,91.30223050421797,47%,153.1300048828125,86.62000274658203
ORCL NYSE,Software,163.36,78.86179089546204,48.247802734375,21.883009029000913,73.95774198086413,47%,197.802001953125,119.01000213623047
SHOP NASDAQ.NMS,Internet,107.93,43.08943152427673,24.124942779541016,19.104970436241413,134.84442331948398,47%,129.36000061035156,69.83999633789062
CEG NASDAQ.NMS,Electric,309.54,32.52032399177551,18.44980812072754,28.45664289439184,133.2633206457101,47.8%,351.3699951171875,161.35000610351562
AVGO NASDAQ.NMS,Semiconductors,239.54,68.29268336296082,37.585914611816406,34.369896639371774,80.23929006953273,51.6%,251.2449951171875,138.10000610351562
CRWD NASDAQ.NMS,Computers,471.20,77.2357702255249,38.9079475402832,31.46327318418904,83.32211562043749,51.6%,474.2300109863281,298.0
NVO NYSE,Pharmaceuticals,68.48,88.61788511276245,56.408546447753906,27.045399856986656,73.71169004024539,53.4%,110.68399810791016,57.0
ARM NASDAQ.NMS,Semiconductors,137.50,44.71544623374939,26.19908905029297,35.32554115832552,108.24985552664688,54.4%,182.8800048828125,80.0
VST NYSE,Electric,162.43,17.073170840740204,8.392577171325684,50.660318684781366,105.20353533852817,55.2%,199.82000732421875,90.76000213623047
PLTR NASDAQ.NMS,Software,124.87,10.569106042385101,31.952085494995117,29.566271681757183,116.1506024412144,57.2%,133.49000549316406,63.400001525878906
COIN NASDAQ.NMS,Diversified Finan Serv,257.85,4.878048598766327,30.598791122436523,35.91607291226854,111.38665555449127,59%,349.75,142.5800018310547
MU NASDAQ.NMS,Semiconductors,96.82,70.7317054271698,42.24639129638672,35.98751058964673,92.59917917153307,59.9%,111.89199829101562,61.540000915527344
TSLA NASDAQ.NMS,Auto Manufacturers,361.66,39.024388790130615,23.469785690307617,46.92663261621062,110.79295404930036,61.9%,488.5400085449219,214.25
MSTR NASDAQ.NMS,Software,364.61,1.6260161995887756,1.9315470457077026,61.66134843697718,172.73052028718652,63.8%,444.94500732421875,231.50999450683594
HOOD NASDAQ.NMS,Internet,65.56,34.959349036216736,19.724336624145508,44.51211895598039,148.09328571736177,64.9%,67.12999725341797,29.65999984741211
MRVL NASDAQ.NMS,Semiconductors,65.28,80.48780560493469,37.66585922241211,19.527231864725948,154.48435580810354,70.4%,127.4800033569336,47.084999084472656
APP NASDAQ.NMS,Software,387.43,36.58536672592163,34.14500427246094,29.818674952301777,156.3035801306614,73%,525.1500244140625,200.5
