"Instrument";"entry_date";"exit_date";"pnl";"contracts_in";"contracts_out";"entry_prix";"avg_exit_prix";"max_exit_prix";"min_entry_prix";"reward_avg";"R_R_avg";"reward_max";"R_R_max";"days_held"
"HAL 16JAN26 29 C";20251202;20260105;671,90574;4;4;0,5;2,1925;3,7;0,5;1,6925;3,38;3,2;6,4;8903
"AAPL 26JAN24 190 C";20240109;20240125;1346,44733;3;3;1;5,5;6;1;4,5;4,5;5;5;16
"DOW 17APR26 35 C";20260302;20260312;1057,65405;5;5;0,69;2,816;3,87;0,69;2,126;3,08;3,18;4,61;10
"AAPL 15MAR24 180 P";20240213;20240305;1277,3539;5;5;1,842;4,6;9,85;1,8;2,758;1,5;8,008;4,35;92
"GLD 17OCT25 350 C";20250922;20251007;514,79723;1;1;3,32;17,71;17,71;3,32;14,39;4,33;14,39;4,33;85
"NFLX 19DEC25 105 P";20251118;20251205;791,09262;2;2;1,585;5,56;7,37;1,585;3,975;2,51;5,785;3,65;87
"JNJ 19DEC25 200 C";20251111;20251119;1040,01623;3;3;1,14;4,6233;5,225;1,14;3,4833;3,06;4,085;3,58;8
"OXY 24APR26 63 C";20260316;20260331;1004,75243;3;3;1,25;4,6167;5,6;1,25;3,3667;2,69;4,35;3,48;15
"NTR 20JUN25 60 C";20250514;20250618;464,49393;3;3;0,67;2,2267;3;0,67;1,5567;2,32;2,33;3,48;104
"TGT 27FEB26 110 C";20260127;20260213;728,99842;2;2;1,64;5,3;7,3;1,64;3,66;2,23;5,66;3,45;86
"STNG 19SEP25 50 C";20250730;20250908;362,42933;3;3;1,5067;2,7233;6,1;1,5;1,2166;0,81;4,5933;3,05;178
"GOLD 15DEC23 16 C";20231114;20231204;1116,47848;10;10;0,387;1,515;1,55;0,387;1,128;2,91;1,163;3,01;90
"EQT 21FEB25 50 C";20250102;20250122;721,15655;3;3;1,25;3,6667;4,75;1,25;2,4167;1,93;3,5;2,8;20
"WMT 19DEC25 108 C";20251125;20251201;829,07983;3;3;1,16;3,94;4,15;1,16;2,78;2,4;2,99;2,58;76
"XOM 19APR24 110 C";20240222;20240325;886,27917;3;3;1,7633;4,7333;5,7;1,67;2,97;1,68;3,9367;2,23;103
"ABBV 19JUL24 170 C";20240604;20240607;587,198112;2;2;1,35;4,3;4,3;1,35;2,95;2,19;2,95;2,19;3
"GLD 26DEC25 400 C";20251211;20251223;300,33802;1;1;3,55;10,25;10,25;3,55;6,7;1,89;6,7;1,89;12
"GOLD 19APR24 17 C";20240305;20240411;388,718446;13;13;0,3823;0,6908;1,1;0,33;0,3085;0,81;0,7177;1,88;106
"RRC 17NOV23 34 C";20230926;20231018;283,31244;2;2;0,87;2,3;2,45;0,87;1,43;1,64;1,58;1,82;92
"MU 25OCT24 110 C";20241001;20241017;501,19558;2;2;1,48;4;4;1,48;2,52;1,7;2,52;1,7;16
"KNIN 20FEB26 184 C";20260106;20260204;463,72;2;2;2;4,35;5,2;2;2,35;1,18;3,2;1,6;98
"URA 31OCT25 52 C";20251003;20251029;400,42164;2;2;2;4,67;4,67;2;2,67;1,33;2,67;1,33;26
"AMGN 19JAN24 275 C";20231122;20231214;867,52348;2;2;4,8;9,15;11,05;4,8;4,35;0,91;6,25;1,3;92
"TLT 24OCT25 90 C";20250923;20251024;219,50198;3;3;0,92;1,6633;2,07;0,9;0,7433;0,81;1,15;1,25;101
"USO 17APR26 125 C";20260326;20260402;292,1648902;1;1;8,3;17,83;17,83;8,3;9,53;1,15;9,53;1,15;76
"QCOM 14MAR25 155 P";20250225;20250310;389,1988348;2;2;2,21;4,17;4,7;2,21;1,96;0,89;2,49;1,13;85
"XOM 20OCT23 115 C";20230829;20230905;357,1886;2;2;1,9;3,7;3,7;1,9;1,8;0,95;1,8;0,95;76
"ABT 30AUG24 107 C";20240814;20240822;157,590166;1;1;3,23;4,8;4,8;3,23;1,57;0,49;1,57;0,49;8
"MCD 17APR25 320 C";20250326;20250327;128,122929;1;1;2,65;3,95;3,95;2,65;1,3;0,49;1,3;0,49;1
"V 15SEP23 220 C";20230802;20230829;627,87642;1;1;20;26,3;26,3;20;6,3;0,32;6,3;0,32;27
"AMD 06JUN25 115 C";20250528;20250604;123,16262;1;1;3,09;4,02;4,02;3,09;0,93;0,3;0,93;0,3;76
"AIG 24APR26 73 P";20260316;20260331;98,04493;3;3;1,3667;1,7;1,7;1,3667;0,3333;0,24;0,3333;0,24;15
"AMGN 09JAN26 345 C";20251216;20260107;41,46772;2;2;1,825;2,05;2,15;1,6;0,225;0,12;0,325;0,18;8891
"USO 18OCT24 72 C";20240913;20241001;19,2960812;2;2;2,23;2,54;2,54;2,23;0,31;0,14;0,31;0,14;88
"TGT 17APR26 125 C";20260318;20260402;6,79310480000004;4;4;1,2;1,23;1,23;1,05;0,03;0,03;0,03;0,03;84
"JPM 28MAR25 245 C";20250312;20250319;25,263269;2;2;1,84;1,685;1,685;1,84;-0,155;-0,08;-0,155;-0,08;7
"URA 30JAN26 55 C";20260107;20260126;489,59684;2;2;2,5;0,68;0,68;1,44;-1,82;-0,73;-1,82;-0,73;19
