"Ticker";"Sector";"Sector_ETF";"Price";"ATR_pct";"Long_Score";"Long_Signal";"Long_Entry";"Long_Stop";"Long_Target";"Short_Score";"Short_Signal";"Short_Entry";"Short_Stop";"Short_Target";"BOT_Score";"BOT_Setup";"BOT_Breakout";"BOT_Squeeze";"BOT_VolDec";"BOT_VolSurge";"BOT_Flags";"ADX10";"RSI14";"RSI_slope";"MA50_dist";"OBV_rising";"UpDn_ratio";"RS_vs_ETF";"Macro_Note";"Sector_Long_Gate";"Sector_Short_Gate";"Best_Signal";"IV30";"RV30";"IVP";"RVP";"VRP";"Optionality";"TermStr";"Vol_Date";"Composite";"Gate_Tech";"Gate_Opt";"All_Gates";"Rank"
"KRE";"Financial";"XLF";69,29;2,16;10;"TRADE";69,43;66,93;75,68;2;"SKIP";69,15;68,28;71,33;8;5;3;0,757;0,798;0,77;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";28;64,8;7,1;2,5;TRUE;4,63;4,2;"";TRUE;FALSE;"LONG TRADE";33,2;33,4;86,7;86,5;-0,2;"PARTIAL";"Backwardation";"20260324 08:06";10;TRUE;TRUE;TRUE;"TOP PICK"
"SMH";"Technology";"XLK";443,34;2,87;10;"TRADE";444,23;396,79;562,81;2;"SKIP";442,45;404,81;536,56;7;4;3;1;1,021;0,68;"S:4/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:+ BK2:+ BK3:+ BK4:-";29,4;69,6;17,3;10,6;TRUE;6,39;8;"";TRUE;FALSE;"LONG TRADE";35,6;28,2;75,1;37,5;7,4;"PARTIAL";"Contango";"20260129 17:21";10;TRUE;TRUE;TRUE;"TOP PICK"
"AVGO";"Technology";"XLK";380,78;3,35;9;"TRADE";381,54;325,3;522,15;2;"SKIP";380,02;331,87;500,39;7;4;3;1;0,954;0,95;"S:4/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:+ BK2:+ BK3:+ BK4:-";33,4;73,3;15,5;15,9;TRUE;18,67;10,8;"";TRUE;FALSE;"LONG TRADE";45,6;47,8;46,4;46,8;-2,3;"PARTIAL";"NO DATA";"20260323 09:10";9;TRUE;TRUE;TRUE;"TOP PICK"
"AMRZ";"Industrial";"XLI";59,96;2,93;10;"WATCH";60,08;57,62;66,24;2;"SKIP";59,84;58,78;62,49;9;6;3;0,575;0,717;0,76;"S:6/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:+ S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";24;60,8;19,3;3;TRUE;1,84;2;"";TRUE;FALSE;"LONG WATCH";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;TRUE;FALSE;FALSE;""
"BAC";"Financial";"XLF";53,35;2,3;10;"WATCH";53,46;50,18;61,65;2;"SKIP";53,24;51,19;58,36;8;5;3;0,995;0,886;1,08;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";30,8;69,8;12,1;5,3;TRUE;12,01;8,3;"";TRUE;FALSE;"LONG WATCH";34,8;33,9;95,7;85,3;0,8;"FAIL";"Backwardation";"20260323 09:13";10;TRUE;FALSE;FALSE;""
"CFG";"Financial";"XLF";64,87;2,47;10;"WATCH";65;61,05;74,87;2;"SKIP";64,74;62,28;70,88;8;5;3;0,881;0,872;1,01;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";25,5;67,3;7,9;5,2;TRUE;10,06;10,1;"";TRUE;FALSE;"LONG WATCH";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;TRUE;FALSE;FALSE;""
"DBA";"Basic Materials";"XLB";27,12;0,77;10;"WATCH";27,17;26,18;29,65;3;"SKIP";27,07;26,71;27,95;7;4;3;0,477;1,504;0,83;"S:4/6 BK:3/4 | S1:+ S2:+ S3:- S4:+ S5:+ S6:- | BK1:+ BK2:+ BK3:+ BK4:-";26,5;59,9;3;2,5;TRUE;1,95;-2,8;"";TRUE;FALSE;"LONG WATCH";21,1;8;99,1;11,9;13,2;"FAIL";"Backwardation";"20260324 07:48";10;TRUE;FALSE;FALSE;""
"ETN";"Industrial";"XLI";401,9;3,17;10;"WATCH";402,7;365,79;494,98;2;"SKIP";401,1;373,18;470,88;8;5;3;0,946;0,828;0,81;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";21,8;67,2;12,7;8,8;TRUE;4,96;6,9;"";TRUE;FALSE;"LONG WATCH";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;TRUE;FALSE;FALSE;""
"EWY";"Technology";"XLK";146,68;4,44;10;"WATCH";146,97;130,32;188,6;2;"SKIP";146,39;132,95;179,97;8;5;3;0,826;0,911;0,78;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";20,5;64;14,2;11,4;TRUE;3,23;3,8;"";TRUE;FALSE;"LONG WATCH";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;TRUE;FALSE;FALSE;""
"FCX";"Basic Materials";"XLB";68,27;3,91;10;"WATCH";68,41;61,12;86,63;2;"SKIP";68,13;62,35;82,59;8;5;3;0,951;0,924;0,73;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";26,5;67,6;13,5;10,6;TRUE;4,99;12,6;"";TRUE;FALSE;"LONG WATCH";57,3;59,2;95,9;78,2;-1,8;"FAIL";"Backwardation";"20260323 09:17";10;TRUE;FALSE;FALSE;""
"FMC";"Agricultural";"MOO";17,42;4,78;10;"WATCH";17,45;15,08;23,38;2;"SKIP";17,39;15,39;22,38;7;5;2;1;0,905;0,48;"S:5/6 BK:2/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:- BK2:+ BK3:+ BK4:-";45,8;59,9;-7;14,3;TRUE;1,76;24,7;"";TRUE;FALSE;"LONG WATCH";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;TRUE;FALSE;FALSE;""
"FTV";"Industrial";"XLI";59,71;2,78;10;"WATCH";59,83;56,53;68,09;2;"SKIP";59,59;57,67;64,4;8;5;3;1;0,735;0,84;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";23;62,5;6,3;4,6;TRUE;3,28;6,7;"";TRUE;FALSE;"LONG WATCH";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;TRUE;FALSE;FALSE;""
"JPM";"Financial";"XLF";311,12;2,23;10;"WATCH";311,74;296,66;349,46;2;"SKIP";310,5;302,65;330,12;7;4;3;0,925;0,981;1,12;"S:4/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:+ BK2:+ BK3:+ BK4:-";25,1;64,6;9,8;3,8;TRUE;2,68;3,7;"";TRUE;FALSE;"LONG WATCH";34,5;31,4;96,6;83,7;3,1;"FAIL";"Backwardation";"20260323 09:22";10;TRUE;FALSE;FALSE;""
"AU";"Precious Metals";"GLD";109,8;4,82;10;"SKIP";110,02;103,4;126,57;2;"SKIP";109,58;105,49;119,81;7;4;3;0,678;1,124;0,67;"S:4/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:+ BK2:+ BK3:+ BK4:-";28,5;61,1;8,2;5,1;TRUE;3,12;16,9;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;FALSE;FALSE;FALSE;""
"BKR";"Energy";"XLE";61,49;3,11;10;"SKIP";61,61;60,22;65,09;2;"SKIP";61,37;61,44;61,18;5;4;1;0,705;0,963;0,84;"S:4/6 BK:1/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:- BK2:+ BK3:- BK4:-";21,2;51,7;-1,7;1,1;TRUE;1,41;14,8;"";FALSE;TRUE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;FALSE;FALSE;FALSE;""
"CA.PA";"Consumer non cyclical";"XLP";16,62;1,78;10;"SKIP";16,66;15,34;19,94;2;"SKIP";16,59;15,65;18,94;9;5;4;0,721;0,938;1,22;"S:5/6 BK:4/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:+";26,9;69,4;8,7;7,3;TRUE;8,68;11,4;"";FALSE;TRUE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;FALSE;FALSE;FALSE;""
"CRM";"Technology";"XLK";171,31;4,41;3;"SKIP";171,65;187,43;132,21;10;"SKIP";170,97;191,22;120,35;1;1;0;0,94;0,932;0,98;"S:1/6 BK:0/4 | S1:- S2:- S3:- S4:- S5:- S6:+ | BK1:- BK2:- BK3:- BK4:-";24,8;36,7;-3,9;-9,5;FALSE;0,34;-20,1;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;FALSE;FALSE;FALSE;""
"HWM";"Defence";"ITA";258,03;3,04;10;"SKIP";258,55;239,73;305,59;2;"SKIP";257,51;244,57;289,87;8;5;3;0,84;0,856;0,76;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";28,9;62,9;14,4;6,6;TRUE;3,57;6,1;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;FALSE;FALSE;FALSE;""
"MT";"Basic Materials";"XLB";62,05;3,78;10;"WATCH";62,17;57,28;74,42;2;"SKIP";61,93;58,43;70,66;8;5;3;0,747;0,944;0,6;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";26,8;65,4;15,5;7,3;TRUE;4;15,1;"";TRUE;FALSE;"SKIP";57;64;97,7;98,8;-7;"FAIL";"Backwardation";"20260325 22:44";10;TRUE;FALSE;FALSE;""
"NUE";"Basic Materials";"XLB";190,04;2,47;10;"WATCH";190,42;174,11;231,19;2;"SKIP";189,66;177,63;219,74;8;5;3;1;0,909;0,68;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";33,8;72,2;16;8,1;TRUE;5,41;11,5;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;TRUE;FALSE;FALSE;""
"PLTR";"Technology";"XLK";135,7;5,66;3;"SKIP";135,97;142,29;120,18;10;"SKIP";135,43;145,16;111,09;1;1;0;1;0,884;1,07;"S:1/6 BK:0/4 | S1:- S2:- S3:- S4:- S5:- S6:+ | BK1:- BK2:- BK3:- BK4:-";26,6;42,3;-8,9;-5,6;FALSE;0,86;-17,6;"";TRUE;FALSE;"SKIP";46,5;51;9,2;33,3;-4,5;"PASS";"Contango";"20260323 09:32";10;FALSE;TRUE;FALSE;""
"SCCO";"Basic Materials";"XLB";193,37;4,71;9;"WATCH";193,76;186,32;212,34;3;"SKIP";192,98;190,09;200,22;7;4;3;0,656;0,923;0,82;"S:4/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";22,7;59,4;11,1;2,7;TRUE;1,82;4,1;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;10;TRUE;FALSE;FALSE;""
