"Ticker";"Sector";"Sector_ETF";"Price";"ATR_pct";"Long_Score";"Long_Signal";"Long_Entry";"Long_Stop";"Long_Target";"Short_Score";"Short_Signal";"Short_Entry";"Short_Stop";"Short_Target";"BOT_Score";"BOT_Setup";"BOT_Breakout";"BOT_Squeeze";"BOT_VolDec";"BOT_VolSurge";"BOT_Flags";"ADX10";"RSI14";"RSI_slope";"MA50_dist";"OBV_rising";"UpDn_ratio";"RS_vs_ETF";"Macro_Note";"Sector_Long_Gate";"Sector_Short_Gate";"Best_Signal";"Trend_Passes";"Pullback";"RS_3m";"Trend_Reason";"NextEarnings";"EarningsInDays";"IV15";"IV30";"IV90";"IV180";"RV30";"IVP";"IVR";"IVP_2y";"RVP";"VRP";"Optionality";"TermStr";"Vol_Date";"Composite";"Gate_Tech";"Gate_Opt";"All_Gates";"Rank"
"BAC";"Financial";"XLF";52,05;2,24;9;"TRADE";52,15;49,9;57,79;3;"SKIP";51,95;50,91;54,54;5;4;1;0,922;0,865;0,85;"S:4/6 BK:1/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:- BK2:+ BK3:- BK4:-";35,9;53,2;-14,9;3,3;TRUE;1,41;3,1;"";TRUE;FALSE;"LONG TRADE";FALSE;"strong (near SMA20 + RSI retraced)";-3;"fails: RS<=bench";"20260714";78;NA;24;NA;26,2;29,2;38,3;NA;NA;74,2;-19,69;"PASS";"Contango";"20260421 08:52";9;TRUE;TRUE;TRUE;"TOP PICK"
"DLR";"Real Estate";"XLRE";200;2,13;10;"TRADE";200,4;181,41;247,89;2;"SKIP";199,6;185,07;235,92;7;4;3;0,983;1,042;2,15;"S:4/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:- BK2:+ BK3:+ BK4:+";48,5;71,9;-11,1;9,1;TRUE;1,54;5,7;"";TRUE;FALSE;"LONG TRADE";TRUE;"at SMA20";20,72;"all criteria met";"20260723";87;30,5;28,2;27,8;30;23,3;37,6;NA;NA;46,2;19,29;"PASS";"Contango";"20260427 17:43";10;TRUE;TRUE;TRUE;"TOP PICK"
"PLD";"Real Estate";"XLRE";142,1;2,13;10;"TRADE";142,38;135,38;159,9;2;"SKIP";141,82;138,11;151,07;6;4;2;0,955;1,047;0,88;"S:4/6 BK:2/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:- BK2:+ BK3:+ BK4:-";34,1;62,1;-11,8;3,9;TRUE;1,19;0,7;"";TRUE;FALSE;"LONG TRADE";TRUE;"at SMA20";9,33;"all criteria met";"20260715";79;24,9;23,9;24,5;25,3;23,7;37,8;NA;NA;57,8;0,84;"PASS";"Contango";"20260427 17:50";10;TRUE;TRUE;TRUE;"TOP PICK"
"DBA";"Basic Materials";"XLB";27,39;0,79;9;"WATCH";27,44;26,41;30,04;3;"SKIP";27,34;26,94;28,32;7;4;3;0,417;1,135;0,7;"S:4/6 BK:3/4 | S1:+ S2:+ S3:- S4:+ S5:+ S6:- | BK1:+ BK2:+ BK3:+ BK4:-";23,3;64;12,6;2,7;TRUE;1,37;-4,7;"";TRUE;FALSE;"LONG WATCH";TRUE;"at SMA20";3,27;"all criteria met";NA;NA;19,5;17,8;19;18,2;8,6;92,5;54,4;90,9;17,5;72,7;"PARTIAL";"Contango";"20260427 17:29";9;TRUE;TRUE;TRUE;"TREND CONT"
"WMT";"Consumer non cyclical";"XLP";129,92;2,08;9;"WATCH";130,18;124,49;144,41;2;"SKIP";129,66;127;136,31;8;5;3;0,771;0,797;0,95;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";18,1;58,7;2,4;3,3;TRUE;2,71;3,8;"";TRUE;FALSE;"LONG WATCH";TRUE;"at SMA20";7,38;"all criteria met";"20260521";24;26,7;31,5;28,6;29,2;21,8;92,7;NA;NA;44,8;36,79;"FAIL";"Backwardation";"20260427 17:40";9;TRUE;FALSE;FALSE;"TREND CONT"
"SPG";"Real Estate";"XLRE";201,16;1,84;9;"WATCH";201,56;193,08;222,76;2;"SKIP";200,76;196,99;210,19;6;5;1;0,959;0,879;0,74;"S:5/6 BK:1/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:- BK2:- BK3:+ BK4:-";33,7;56,9;-14,6;3,1;TRUE;1,08;1,9;"";TRUE;FALSE;"LONG WATCH";TRUE;"at SMA20";5,48;"all criteria met";"20260511";14;30,2;26,5;23,7;24;19,1;93;NA;NA;59,8;32,55;"FAIL";"Backwardation";"20260427 17:53";9;TRUE;FALSE;FALSE;"TREND CONT"
"CCJ";"Basic Materials";"XLB";122,15;4,93;10;"WATCH";122,39;113,6;144,39;2;"SKIP";121,91;115,89;136,94;6;5;1;0,962;0,874;0,75;"S:5/6 BK:1/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:- BK2:+ BK3:- BK4:-";20,1;57,2;-4,7;6,5;TRUE;1,45;10,9;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";-2,33;"fails: RS<=bench, no pullback";"20260505";8;NA;58,4;NA;55;53,9;79,9;NA;NA;56;7,96;"FAIL";"Backwardation";"20260421 09:05";10;TRUE;FALSE;FALSE;""
"LAC";"Basic Materials";"XLB";4,64;5,89;10;"WATCH";4,65;4,41;5,24;2;"SKIP";4,63;4,5;4,95;5;4;1;0,94;0,975;0,92;"S:4/6 BK:1/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:- BK2:+ BK3:- BK4:-";31,3;54;-11;4,1;TRUE;1,52;13,8;"";TRUE;FALSE;"LONG WATCH";FALSE;"RSI retraced";-25,6;"fails: stage2, RS<=bench";"20260514";17;NA;83,2;NA;77,5;67,1;55,5;NA;NA;42,6;21,51;"FAIL";"Backwardation";"20260420 19:04";10;TRUE;FALSE;FALSE;""
"URA";"Basic Materials";"XLB";55,31;4,43;10;"WATCH";55,42;51,06;66,32;2;"SKIP";55,2;52,09;62,97;7;5;2;1;0,922;0,83;"S:5/6 BK:2/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:- BK2:+ BK3:+ BK4:-";22,8;57,8;-8,5;7,2;TRUE;2,62;12,7;"";TRUE;FALSE;"LONG WATCH";FALSE;"none";-2,37;"fails: RS<=bench, no pullback";NA;NA;NA;55,7;NA;57,9;53;75,6;NA;NA;69;4,91;"FAIL";"Contango";"20260324 08:23";10;TRUE;FALSE;FALSE;""
"TGT";"Consumer non cyclical";"XLP";129,26;2,43;10;"WATCH";129,52;118,24;157,73;2;"SKIP";129;120,62;149,95;7;5;2;0,755;0,825;0,65;"S:5/6 BK:2/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:- BK2:+ BK3:+ BK4:-";30,7;63,3;-2,3;8,2;TRUE;1,82;7,9;"";TRUE;FALSE;"LONG WATCH";TRUE;"at SMA20";21,27;"all criteria met";"20260520";23;32,6;44,1;36,4;37,1;25;67,7;86,6;NA;10,8;56,95;"FAIL";"Backwardation";"20260427 17:36";10;TRUE;FALSE;FALSE;""
