"sym";"sector";"rich_pass";"pull_pass";"cheap_pass";"stage";"pull_score";"pull_direction";"sector_rs_rank";"stage_pts";"sector_pts";"footprint_pts";"cheap_score";"cheap_side";"ivp_used";"ivp_2y";"vrp";"vehicle";"strike";"expiry";"spot_target_low";"spot_target_high";"targets_agreeing";"fib_confirms";"oi_cap_call";"oi_cap_put";"oi_concentration_pct";"chain_state";"crowded_flag";"effective_target";"rr";"entry_floor";"entry_ceiling";"headroom_band";"entry_state";"rank";"phase_of_drop";"sector_cluster";"schema_version"
"ADM";"Agricultural";TRUE;FALSE;FALSE;"early";4;"neutral";99;4;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"AGCO";"Agricultural";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"AA";"Basic Materials";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"ALB";"Basic Materials";TRUE;FALSE;FALSE;"continuation";1;"neutral";99;3;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"LIN";"Basic Materials";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"MT";"Basic Materials";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"NEM";"Basic Materials";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"NUE";"Basic Materials";TRUE;FALSE;FALSE;"extended";0;"neutral";99;1;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"SCCO";"Basic Materials";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"SHW";"Basic Materials";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
