"sym";"sector";"rich_pass";"flow_pass";"cheap_pass";"stage";"flow_score";"flow_direction";"sector_rs_rank";"stage_pts";"sector_pts";"footprint_pts";"cheap_score";"cheap_side";"ivp_used";"ivp_2y";"vrp";"vehicle";"strike";"expiry";"spot_target_low";"spot_target_high";"targets_agreeing";"fib_confirms";"oi_cap_call";"oi_cap_put";"oi_concentration_pct";"chain_state";"crowded_flag";"effective_target";"rr";"entry_floor";"entry_ceiling";"headroom_band";"entry_state";"rank";"phase_of_drop";"sector_cluster";"schema_version"
"CAG";"Agricultural";TRUE;FALSE;FALSE;"none";2;"down";99;0;0;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"CF";"Agricultural";TRUE;FALSE;FALSE;"none";3;"down";99;0;0;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"LW";"Agricultural";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"MOS";"Agricultural";TRUE;FALSE;FALSE;"none";2;"down";99;0;0;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"NTR";"Agricultural";TRUE;FALSE;FALSE;"none";3;"down";99;0;0;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"AA";"Basic Materials";TRUE;FALSE;FALSE;"extended";2;"neutral";99;2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"ALB";"Basic Materials";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"CCJ";"Basic Materials";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"CLF";"Basic Materials";TRUE;FALSE;FALSE;"extended";2;"neutral";99;2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"DOW";"Basic Materials";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"FCX";"Basic Materials";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"LAC";"Basic Materials";TRUE;FALSE;FALSE;"extended";2;"neutral";99;2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"MT";"Basic Materials";TRUE;FALSE;FALSE;"extended";2;"neutral";99;2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"NEM";"Basic Materials";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"SCCO";"Basic Materials";TRUE;FALSE;FALSE;"early";4;"neutral";99;4;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"URA";"Basic Materials";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"AMZN";"Communications";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"DIS";"Communications";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"GOOG";"Communications";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"T";"Communications";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"TMUS";"Communications";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"DG";"Consumer cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"HD";"Consumer cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"TSLA";"Consumer cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"BN";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"CL";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"GM";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"KHC";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"KO";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"KR";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"LULU";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"MDLZ";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"MO";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"NVO";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"OR";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"PEP";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"PG";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"PM";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"TGT";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
"WMT";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;7
