"Ticker";"Sector";"Sector_ETF";"Price";"ATR14";"ATR_pct";"Long_Score";"Long_Signal";"Long_Entry";"Long_Stop";"Long_Target";"Short_Score";"Short_Signal";"Short_Entry";"Short_Stop";"Short_Target";"ADX10";"RSI14";"RSI_slope";"MA50_dist";"OBV_rising";"UpDn_ratio";"RS_vs_ETF";"Best_Signal"
"CVX";"Energy";"XLE";196,84;3,762;1,91;9;"TRADE";197,23;176,43;249,23;NA;"n/a";NA;NA;NA;39,2;70,8;13;10,5;TRUE;1,73;1,3;"LONG TRADE"
"COP";"Energy";"XLE";121,32;3,116;2,57;9;"TRADE";121,56;106,18;160,01;NA;"n/a";NA;NA;NA;34,2;68,4;10,3;13,1;TRUE;1,37;3,8;"LONG TRADE"
"EOG";"Energy";"XLE";134,51;3,546;2,64;9;"TRADE";134,78;116,08;181,53;NA;"n/a";NA;NA;NA;47;71,3;8,7;14,7;TRUE;3,76;4,6;"LONG TRADE"
"PSX";"Energy";"XLE";173,48;5,161;2,97;9;"TRADE";173,83;150,89;231,18;NA;"n/a";NA;NA;NA;46,9;71,8;9,6;13,8;TRUE;1,54;2;"LONG TRADE"
"XOM";"Energy";"XLE";157,23;3,757;2,39;8;"TRADE";157,54;141,27;198,21;NA;"n/a";NA;NA;NA;31,3;65,8;13,5;10,2;TRUE;2,35;-0,2;"LONG TRADE"
"MPC";"Energy";"XLE";228,94;7,86;3,43;8;"TRADE";229,4;192,77;320,98;NA;"n/a";NA;NA;NA;51,8;68,8;5,4;17,6;TRUE;1,41;6,4;"LONG TRADE"
"OXY";"Energy";"XLE";57,25;1,897;3,31;8;"TRADE";57,36;47,56;81,86;NA;"n/a";NA;NA;NA;42,9;68,4;6,4;19,2;TRUE;1,57;16,9;"LONG TRADE"
"DVN";"Energy";"XLE";46,65;1,406;3,01;8;"TRADE";46,74;41,12;60,79;NA;"n/a";NA;NA;NA;30,6;66,6;12,3;12,3;TRUE;3,37;-1,8;"LONG TRADE"
"SHW";"Materials";"XLB";322,71;9,184;2,85;NA;"n/a";NA;NA;NA;9;"TRADE";322,06;354,02;242,16;44,3;32,1;-0,1;-7,9;FALSE;0,61;-6;"SHORT TRADE"
"NUE";"Materials";"XLB";162,74;5,174;3,18;NA;"n/a";NA;NA;NA;9;"TRADE";162,41;178,35;122,56;37,8;31,7;-7,5;-7,8;FALSE;0,69;-5,1;"SHORT TRADE"
"GE";"Industrials";"XLI";304;10,63;3,5;NA;"n/a";NA;NA;NA;9;"TRADE";303,39;322,59;255,39;32,3;38;-11,8;-4,8;FALSE;0,64;-1,9;"SHORT TRADE"
"EMR";"Industrials";"XLI";133,09;4,591;3,45;NA;"n/a";NA;NA;NA;9;"TRADE";132,82;148,5;93,62;36;35,2;-5,9;-9,5;FALSE;0,66;-5,4;"SHORT TRADE"
"MMM";"Industrials";"XLI";149,95;4,436;2,96;NA;"n/a";NA;NA;NA;9;"TRADE";149,65;163,77;114,35;31,6;35,3;-4,3;-7,5;FALSE;0,59;-5,4;"SHORT TRADE"
"AAPL";"Technology";"XLK";252,82;5,843;2,31;NA;"n/a";NA;NA;NA;9;"TRADE";252,31;264,58;221,64;26,6;38,7;-6,7;-3,5;FALSE;0,56;-3,7;"SHORT TRADE"
"QCOM";"Technology";"XLK";129,39;4,203;3,25;NA;"n/a";NA;NA;NA;9;"TRADE";129,13;150,2;76,46;38,3;28,9;-6,4;-13;FALSE;0,48;-8,8;"SHORT TRADE"
"BAC";"Financials";"XLF";47,06;1,423;3,02;NA;"n/a";NA;NA;NA;9;"TRADE";46,97;52,82;32,34;39,7;31,6;-3,6;-10;FALSE;0,52;-5,2;"SHORT TRADE"
"AXP";"Financials";"XLF";298,2;9,491;3,18;NA;"n/a";NA;NA;NA;9;"TRADE";297,6;345,36;178,2;42,9;31,5;-1,1;-12,8;FALSE;0,68;-7,9;"SHORT TRADE"
"PNC";"Financials";"XLF";200,75;5,848;2,91;NA;"n/a";NA;NA;NA;9;"TRADE";200,35;222,75;144,35;37,7;29,2;-4,7;-9;FALSE;0,33;-7,6;"SHORT TRADE"
"AGCO";"Agriculture";"MOO";118,53;4,158;3,51;NA;"n/a";NA;NA;NA;8;"TRADE";118,29;124,27;103,34;38,2;33,1;-4,8;-3,7;FALSE;0,44;-12,3;"SHORT TRADE"
"CLF";"Materials";"XLB";8,61;0,638;7,42;NA;"n/a";NA;NA;NA;8;"TRADE";8,59;12,17;-0,36;41,5;28,5;-4,1;-28,6;FALSE;0,38;-11,9;"SHORT TRADE"
"UNP";"Industrials";"XLI";242,21;5,384;2,22;NA;"n/a";NA;NA;NA;8;"TRADE";241,73;248,85;223,93;48,1;34;-7,9;-1,7;FALSE;0,31;-2,7;"SHORT TRADE"
"ITW";"Industrials";"XLI";268,64;5,451;2,03;NA;"n/a";NA;NA;NA;8;"TRADE";268,1;277,52;244,55;48,7;35,3;-1,4;-2,2;FALSE;0,41;-4,5;"SHORT TRADE"
"AME";"Industrials";"XLI";214,51;5,473;2,55;NA;"n/a";NA;NA;NA;8;"TRADE";214,08;226,71;182,51;38,1;35;-11,5;-4,4;FALSE;0,58;-2,9;"SHORT TRADE"
"RGLD";"PreciousMetals";"GDX";250,27;12,331;4,93;NA;"n/a";NA;NA;NA;8;"TRADE";249,77;275,54;185,34;31,4;34,8;-16,9;-8,3;FALSE;0,74;-4,5;"SHORT TRADE"
"KGC";"PreciousMetals";"GDX";31,05;1,666;5,36;NA;"n/a";NA;NA;NA;8;"TRADE";30,99;34,07;23,29;34,3;38,9;-5,8;-8;FALSE;0,55;-1,6;"SHORT TRADE"
"AU";"PreciousMetals";"GDX";96,72;6,133;6,34;NA;"n/a";NA;NA;NA;8;"TRADE";96,53;106,85;70,73;29,6;37,5;-9,6;-8,6;FALSE;0,38;-3;"SHORT TRADE"
"JPM";"Financials";"XLF";286,16;7,503;2,62;NA;"n/a";NA;NA;NA;8;"TRADE";285,59;308,94;227,21;37,4;36,3;0,7;-6,4;FALSE;0,56;-1,3;"SHORT TRADE"
"WFC";"Financials";"XLF";75,75;2,705;3,57;NA;"n/a";NA;NA;NA;8;"TRADE";75,6;88,13;44,27;44;31,2;0,1;-13,2;FALSE;0,36;-7,8;"SHORT TRADE"
"GS";"Financials";"XLF";794,77;30,175;3,8;NA;"n/a";NA;NA;NA;8;"TRADE";793,18;914,57;489,7;35,9;32,5;-3,8;-12,2;TRUE;0,79;-7,7;"SHORT TRADE"
"AIG";"Financials";"XLF";76,54;1,738;2,27;NA;"n/a";NA;NA;NA;8;"TRADE";76,39;77,53;73,54;23;42,5;-5,7;-0,3;FALSE;0,47;2;"SHORT TRADE"
"ABBV";"Healthcare";"XLV";221,45;5,78;2,61;NA;"n/a";NA;NA;NA;8;"TRADE";221,01;226,55;207,16;18,6;42,4;-6,5;-1,3;FALSE;0,4;-0,9;"SHORT TRADE"
"BSX";"Healthcare";"XLV";69,79;2,057;2,95;NA;"n/a";NA;NA;NA;8;"TRADE";69,65;82,83;36,7;52,5;32,8;2,9;-14,9;FALSE;0,79;-4,5;"SHORT TRADE"
"DE";"Agriculture";"MOO";572,48;16,887;2,95;NA;"n/a";NA;NA;NA;7;"TRADE";571,34;570,65;573,07;28,5;42,2;-7,4;1,3;FALSE;0,36;-2,6;"SHORT TRADE"
"BA";"Defence";"ITA";213,47;7,225;3,38;NA;"n/a";NA;NA;NA;7;"TRADE";213,04;236,26;154,99;31,6;39,2;1,9;-8,7;FALSE;0,9;-10,3;"SHORT TRADE"
"STLD";"Materials";"XLB";174,28;6,648;3,81;NA;"n/a";NA;NA;NA;7;"TRADE";173,93;186,33;142,93;30;38,3;-3,8;-5,5;TRUE;0,58;-2,9;"SHORT TRADE"
"AMD";"Technology";"XLK";196,58;9,284;4,72;NA;"n/a";NA;NA;NA;7;"TRADE";196,19;217,39;143,19;16,7;44,2;-3,1;-8,7;FALSE;1,52;-2,7;"SHORT TRADE"
"MS";"Financials";"XLF";155,7;5,769;3,71;NA;"n/a";NA;NA;NA;7;"TRADE";155,39;176,9;101,61;36,4;33,6;-3,2;-11,1;TRUE;1,49;-3,7;"SHORT TRADE"
"SCHW";"Financials";"XLF";93,63;2,553;2,73;NA;"n/a";NA;NA;NA;7;"TRADE";93,44;99,77;77,62;26,9;43,5;4,4;-5,2;FALSE;0,66;6,1;"SHORT TRADE"
"COF";"Financials";"XLF";180,77;7,009;3,88;NA;"n/a";NA;NA;NA;7;"TRADE";180,41;216,04;91,34;47,2;32,6;0,2;-15,5;FALSE;0,57;-7;"SHORT TRADE"
"MRK";"Healthcare";"XLV";115,43;2,753;2,39;NA;"n/a";NA;NA;NA;7;"TRADE";115,2;116,44;112,1;23,5;44,2;-4;0,1;FALSE;0,32;-1;"SHORT TRADE"
"ABT";"Healthcare";"XLV";109,95;2,335;2,12;NA;"n/a";NA;NA;NA;7;"TRADE";109,73;115,44;95,46;24,9;43,3;1,1;-3,8;FALSE;0,47;2;"SHORT TRADE"
"PG";"ConsumerStaples";"XLP";152,12;3,047;2;NA;"n/a";NA;NA;NA;7;"TRADE";151,82;154,84;144,27;27;42,1;-5,2;-0,8;TRUE;0,9;-1;"SHORT TRADE"
"MDLZ";"ConsumerStaples";"XLP";57,16;1,528;2,67;NA;"n/a";NA;NA;NA;7;"TRADE";57,05;58,7;52,92;25,2;46,1;7,8;-1,6;FALSE;0,68;-0,9;"SHORT TRADE"
"WMB";"Energy";"XLE";73,89;1,505;2,04;5;"WATCH";74,04;67,89;89,42;NA;"n/a";NA;NA;NA;35,8;59,8;-2,1;7,8;TRUE;0,59;-5;"LONG WATCH"
"LDOS";"Defence";"ITA";167,45;5,912;3,53;NA;"n/a";NA;NA;NA;6;"WATCH";167,12;185,13;122,1;31,2;38,6;-4,7;-8,6;TRUE;1,17;5,9;"SHORT WATCH"
"FCX";"Materials";"XLB";57,93;2,982;5,15;NA;"n/a";NA;NA;NA;6;"WATCH";57,81;62,18;46,89;30,4;41;-7,5;-5,9;TRUE;0,89;1,1;"SHORT WATCH"
"NEM";"Materials";"XLB";110,19;5,311;4,82;NA;"n/a";NA;NA;NA;6;"WATCH";109,97;119,52;86,1;31,6;38,7;-9,7;-6,9;TRUE;1,34;-3,6;"SHORT WATCH"
"CAT";"Industrials";"XLI";699,78;25,569;3,65;NA;"n/a";NA;NA;NA;6;"WATCH";698,38;700,41;693,31;23,9;46,1;-3,8;0,9;FALSE;0,94;-3,3;"SHORT WATCH"
"NEM";"PreciousMetals";"GDX";110,19;5,311;4,82;NA;"n/a";NA;NA;NA;6;"WATCH";109,97;119,52;86,1;31,6;38,7;-9,7;-6,9;TRUE;1,34;-4,1;"SHORT WATCH"
"AEM";"PreciousMetals";"GDX";210,16;10,102;4,81;NA;"n/a";NA;NA;NA;6;"WATCH";209,74;214,78;197,14;30,6;42,8;-10;-1,2;TRUE;0,57;4,5;"SHORT WATCH"
"WPM";"PreciousMetals";"GDX";139,19;7,034;5,05;NA;"n/a";NA;NA;NA;6;"WATCH";138,91;144,26;125,54;31,6;42,1;-10,7;-2,5;TRUE;0,66;3,6;"SHORT WATCH"
"HL";"PreciousMetals";"GDX";19,88;1,638;8,24;NA;"n/a";NA;NA;NA;6;"WATCH";19,84;23,75;10,06;31;40,3;-6,7;-15,5;FALSE;0,98;-0,5;"SHORT WATCH"
"NVDA";"Technology";"XLK";183,22;6,251;3,41;NA;"n/a";NA;NA;NA;6;"WATCH";182,85;187,14;172,12;18,2;48,7;-1,3;-1,1;TRUE;2,59;-0,4;"SHORT WATCH"
"TXN";"Technology";"XLK";194,13;6,026;3,1;NA;"n/a";NA;NA;NA;6;"WATCH";193,74;207,29;159,87;32,7;38;0,9;-5,4;FALSE;1,1;-13,5;"SHORT WATCH"
"LRCX";"Technology";"XLK";219,4;10,912;4,97;NA;"n/a";NA;NA;NA;6;"WATCH";218,96;226,6;199,86;25,5;48,7;3,5;-2,2;FALSE;2,01;-6,4;"SHORT WATCH"
"BMY";"Healthcare";"XLV";59,71;1,278;2,14;NA;"n/a";NA;NA;NA;6;"WATCH";59,59;58,9;61,32;22,8;49,9;-1,8;2,4;FALSE;0,86;3;"SHORT WATCH"
"PEP";"ConsumerStaples";"XLP";157,72;3,426;2,17;NA;"n/a";NA;NA;NA;6;"WATCH";157,4;158,34;155,05;25,8;42,1;-5,4;0,6;FALSE;0,39;1,1;"SHORT WATCH"
"PM";"ConsumerStaples";"XLP";174,78;4,669;2,67;NA;"n/a";NA;NA;NA;6;"WATCH";174,43;177,76;166,11;30,6;46,9;6;-0,7;FALSE;1,62;-1,2;"SHORT WATCH"
"MOS";"Agriculture";"MOO";27,67;1,503;5,43;NA;"n/a";NA;NA;NA;5;"WATCH";27,61;28,14;26,28;20,6;48,6;6,1;-0,7;FALSE;1,68;-2,7;"SHORT WATCH"
"TSN";"Agriculture";"MOO";61,83;1,396;2,26;NA;"n/a";NA;NA;NA;5;"WATCH";61,71;62,91;58,71;32,2;48;11,4;-0,7;FALSE;0,43;0,4;"SHORT WATCH"
"FMC";"Agriculture";"MOO";13,8;0,798;5,78;NA;"n/a";NA;NA;NA;5;"WATCH";13,77;15,06;10,54;13,2;43,8;1;-7,5;FALSE;1,3;-2,6;"SHORT WATCH"
"HON";"Industrials";"XLI";234,51;5,087;2,17;NA;"n/a";NA;NA;NA;5;"WATCH";234,04;232,25;238,51;27,4;47,2;-8,3;2;FALSE;1,42;1,8;"SHORT WATCH"
"PAAS";"PreciousMetals";"GDX";56,41;3,549;6,29;NA;"n/a";NA;NA;NA;5;"WATCH";56,3;59,84;47,45;22,6;41,8;-9,6;-4,8;TRUE;1,19;6,4;"SHORT WATCH"
"UNH";"Healthcare";"XLV";285,49;8,325;2,92;NA;"n/a";NA;NA;NA;5;"WATCH";284,92;305,33;233,9;27,1;46,8;4,6;-5,6;TRUE;0,74;2,8;"SHORT WATCH"
"LMT";"Defence";"ITA";645,2;17,743;2,75;NA;"n/a";NA;NA;NA;4;"SKIP";643,91;623,87;694,01;26,7;51,4;-2,8;4,5;FALSE;0,41;1,6;"SKIP"
"HII";"Defence";"ITA";416,59;15,843;3,8;NA;"n/a";NA;NA;NA;4;"SKIP";415,76;420,27;404,48;23,8;47,4;0;0,1;TRUE;1,81;2;"SKIP"
"KTOS";"Defence";"ITA";89,53;6,635;7,41;NA;"n/a";NA;NA;NA;4;"SKIP";89,35;100,37;61,8;8,2;47,4;1;-9,9;TRUE;1,8;-0,4;"SKIP"
"ALB";"Materials";"XLB";162,44;9,309;5,73;NA;"n/a";NA;NA;NA;4;"SKIP";162,12;172,6;135,92;17,6;45,5;-1,8;-4,9;TRUE;0,94;2,4;"SKIP"
