"Ticker";"Sector";"Sector_ETF";"Price";"ATR14";"ATR_pct";"Entry";"Stop";"Target";"RR";"Score";"L3_RS";"RS_vs_ETF";"L4a_MA50";"L4b_MA50slope";"L4c_ADX";"ADX10";"L4d_Range";"Range_pct";"L5a_RSI";"RSI14";"RSI_slope";"L5b_NotExt";"MA50_dist";"F1a_OBV";"F1b_UpDn";"UpDn_ratio";"Signal"
"CVX";"Energy";"XLE";196,82;4,001;2,03;197,21;174,74;253,38;2,5;9;TRUE;1;TRUE;TRUE;TRUE;36,9;TRUE;89,8;TRUE;70,8;3,6;TRUE;11,5;TRUE;TRUE;1,23;"TRADE"
"COP";"Energy";"XLE";121,89;3,297;2,71;122,13;105,14;164,6;2,5;9;TRUE;3,1;TRUE;TRUE;TRUE;33;TRUE;95,8;TRUE;70,1;3,2;TRUE;14,8;TRUE;TRUE;2,43;"TRADE"
"XOM";"Energy";"XLE";156,12;3,875;2,48;156,43;139,86;197,85;2,5;8;FALSE;-2,8;TRUE;TRUE;TRUE;29,2;TRUE;75,9;TRUE;64,4;5,5;TRUE;10,5;TRUE;TRUE;1,6;"TRADE"
"PSX";"Energy";"XLE";172,74;5,398;3,12;173,09;149,16;232,92;2,5;8;TRUE;3,7;TRUE;TRUE;TRUE;45,1;TRUE;80,7;TRUE;71,1;0,8;TRUE;14,6;FALSE;TRUE;1,11;"TRADE"
"OXY";"Energy";"XLE";57,88;1,997;3,45;58;46,94;85,65;2,5;8;TRUE;20,3;TRUE;TRUE;TRUE;41,9;TRUE;91;TRUE;71,3;0,9;FALSE;22,1;TRUE;TRUE;1,6;"TRADE"
"DVN";"Energy";"XLE";46,25;1,417;3,06;46,34;40,75;60,32;2,5;8;FALSE;-1,7;TRUE;TRUE;TRUE;28,3;TRUE;96,6;TRUE;65,1;4,8;TRUE;12,4;TRUE;TRUE;1,98;"TRADE"
"FANG";"Energy";"XLE";182,37;6,13;3,36;182,73;162,14;234,2;2,5;8;TRUE;2;TRUE;TRUE;TRUE;27,4;TRUE;81,5;FALSE;63,9;-2,3;TRUE;11,4;TRUE;TRUE;1,36;"TRADE"
"EOG";"Energy";"XLE";133,6;3,617;2,71;133,87;114,95;181,17;2,5;7;TRUE;6,5;TRUE;TRUE;TRUE;46,8;TRUE;86,2;FALSE;70,2;-3,4;FALSE;15,1;TRUE;TRUE;2,28;"TRADE"
"MPC";"Energy";"XLE";226,18;8,262;3,65;226,63;190,19;317,73;2,5;7;TRUE;7,3;TRUE;TRUE;TRUE;48,9;TRUE;78,3;FALSE;67,3;-3,7;FALSE;17,7;TRUE;TRUE;1,56;"TRADE"
"VLO";"Energy";"XLE";230,59;8,144;3,53;231,05;194,75;321,8;2,5;7;TRUE;10,2;TRUE;TRUE;TRUE;55;TRUE;78,8;FALSE;67;-6,2;FALSE;17,2;TRUE;TRUE;2,28;"TRADE"
"WMB";"Energy";"XLE";73,34;1,568;2,14;73,49;67,36;88,81;2,5;4;FALSE;-3,8;TRUE;TRUE;TRUE;40,9;FALSE;40,6;FALSE;57,2;-9;TRUE;7,8;FALSE;FALSE;0,38;"SKIP"
"SLB";"Energy";"XLE";44,72;1,807;4,04;44,81;47,68;37,64;NA;2;FALSE;-18,6;FALSE;TRUE;FALSE;34,9;FALSE;13,1;FALSE;33;-4,7;TRUE;-7,1;FALSE;FALSE;0,61;"SKIP"
"HAL";"Energy";"XLE";33,69;1,219;3,62;33,76;33,42;34,61;2,5;2;FALSE;-8,6;FALSE;TRUE;FALSE;13,2;FALSE;15;FALSE;44,8;-2,9;TRUE;-0,2;FALSE;FALSE;0,43;"SKIP"
"BKR";"Energy";"XLE";54,26;1,873;3,45;54,37;56,33;49,47;NA;2;FALSE;-18,5;FALSE;TRUE;FALSE;32,6;FALSE;1,4;FALSE;30,8;-17,6;TRUE;-4,6;FALSE;FALSE;0,11;"SKIP"
