TradeNr,EntryDate,Symbol,PnL,Notes,put_count,call_count,is_futures,direction,is_winner,sector,entry_str,setup,breakout,color,squeeze,vol_dec,vol_surge,rng_pct,rsi,ma50_dist,flags
42,20220721,GLD,259.52,"Gold: Technical analysis Major support + 2 measured moves completed,Prise de bénéfice à +30%, Ss-jacent à 165 USD.  Remarque: Date du 30Dec pour le Call trop éloignée",0,0,0,long,True,Precious Metals,2022-07-21,0.0,0.0,GREY,0.834,0.95,0.84,15.9,23.7,-4.9,S1:- S2:- S3:- S4:- S5:- S6:- | BK1:- BK2:- BK3:- BK4:-
224,20230403,SPY,-996.57,"This is raised during WITT. Patrick wants to build on the idea that short term (until end of April), market will rise. And then should go down by end of June. Hence the straddle with possible repositioning in the future.,NA,Sell short term 420 Call To pay less for the call that is expensive (interest rates are high).,In view of May 4th FOMC meeting, roll the trade beyond May 4th.  So close current May 5th straddle.,Max risk loss due to IV decrease from 17% to 13% (vega approxim. 80 - so 320$ loss) plus theta burn. Opened at SPY spot price 410$, closed at 419$ In total 650$ loss on put side and 350$ loss on call side.",0,0,0,long,False,Macro,2023-04-03,4.0,3.0,AMBER,0.901,1.185,0.6,98.7,70.6,2.7,S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:+ BK2:+ BK3:+ BK4:-
227,20230406,OXY,-192.65224,"NA,Energy play and W. Buffet's favorite,USO moved below fib pocket. No more potential upside in oil.",0,0,0,long,False,Energy,2023-04-06,2.0,2.0,GREY,0.971,1.098,0.63,68.7,67.3,2.5,S1:+ S2:- S3:+ S4:- S5:- S6:- | BK1:+ BK2:+ BK3:- BK4:-
250,20230501,AMGN,-183.42564,NA,0,0,0,long,False,Healthcare,2023-05-01,2.0,0.0,GREY,0.75,0.847,0.99,24.6,22.2,-0.1,S1:- S2:+ S3:- S4:- S5:- S6:+ | BK1:- BK2:- BK3:- BK4:-
255,20230517,SPY,-171.80286,"Adjust to SPY trade - SPY going down,NA,Adjust to new SPY level,Close this put to adjust to new SPY spot price and fit with Pat's idea. Put lost 564$ (about 50% of its value).,Only 90$ credit, but for only 10% of the total time. WOrth closing and reopening a new one.",0,0,0,long,False,Macro,2023-05-17,5.0,2.0,AMBER,0.492,0.874,1.13,82.8,53.9,2.5,S1:+ S2:+ S3:+ S4:- S5:+ S6:+ | BK1:+ BK2:- BK3:+ BK4:-
261,20230518,SPY,-48.84,Erreur: -48.84$...,0,0,0,long,False,Macro,2023-05-18,5.0,4.0,GREEN,0.526,0.882,1.24,97.2,54.5,3.4,S1:+ S2:+ S3:+ S4:- S5:+ S6:+ | BK1:+ BK2:+ BK3:+ BK4:+
298,20230815,GILD,-207.105244,"Rotation from tech to health (defensive sector). BPT idea: Miss on earnings but should rebounce quickly as all the healthcare sector is gaining momentum,Broke the fib zone",0,0,0,long,False,Unknown,2023-08-15,3.0,3.0,GREY,0.892,1.032,0.63,71.7,64.1,2.7,S1:+ S2:+ S3:+ S4:- S5:- S6:- | BK1:+ BK2:+ BK3:+ BK4:-
300,20230802,V,627.87642,"WITT: Took the break-out trade. Visa has just got good earnings.,This trade kept going up and up, and I let it continue- even when Patrick was saying it was better to close it. As long as fib zone was not retraced, I continued -> Nice profit!",0,0,0,long,True,Financial,2023-08-02,3.0,0.0,GREY,0.726,0.833,0.87,55.9,37.1,2.3,S1:+ S2:+ S3:- S4:- S5:- S6:+ | BK1:- BK2:- BK3:- BK4:-
310,20230829,XOM,357.1886,"Idea from Pat - pure BOT trade,NA",0,0,0,long,True,Energy,2023-08-29,6.0,2.0,AMBER,0.633,0.892,0.71,81.9,53.2,4.2,S1:+ S2:+ S3:+ S4:+ S5:+ S6:+ | BK1:- BK2:+ BK3:+ BK4:-
314,20230830,TLT,-272.733264,"Pat's idea - TLT (20 yrs+ bonds have bottomed),Fermé,NA",0,0,0,long,False,Macro,2023-08-30,1.0,3.0,GREY,0.491,1.032,0.62,77.4,53.5,-2.4,S1:- S2:- S3:- S4:- S5:+ S6:- | BK1:+ BK2:+ BK3:+ BK4:-
328,20230926,RRC,283.31244,"New idea from Patrick - RRC is an energy company,Takes profit as RRC in profit zone. Only 1 Call left. Risk free trade.,Successful trade and there does not seem to be much more upside given the time left. Closed for a profit.",0,0,0,long,True,Unknown,2023-09-26,1.0,1.0,GREY,0.882,0.916,1.31,29.8,41.1,-2.3,S1:- S2:+ S3:- S4:- S5:- S6:- | BK1:- BK2:- BK3:- BK4:+
335,20231003,F,-113.52212,"BOT from Pat,NA,I butchered it. I do not know how to create a break out trade when bearish. Have to think about it.",0,0,0,long,False,Unknown,2023-10-03,0.0,0.0,GREY,0.812,0.989,1.15,22.2,36.5,-3.0,S1:- S2:- S3:- S4:- S5:- S6:- | BK1:- BK2:- BK3:- BK4:-
348,20231107,USO,-274.343924,"Copy paste of Pat's idea during WITT 7.11. Max risk is Ok, reward also in line. Asymmetry clearly in,Completely unexpected move downwards of USO. Seems it was an overcrowded trade. Sell the news (Israeli-Hamas war) did not seem to bother markets. I gues it was too easy!",0,0,0,long,False,Macro,2023-11-07,1.0,1.0,GREY,0.888,1.198,1.46,1.8,30.6,-8.0,S1:- S2:+ S3:- S4:- S5:- S6:- | BK1:- BK2:- BK3:- BK4:+
351,20231114,GOLD,1116.47848,"GOLD has a nice breakout profile. WITT session. If goes up to 17, nice 600 USD profit,First I took a partial profit as it gained a lot, then took the whole profit on the Gold reversal day,NA",0,0,0,long,True,Unknown,2023-11-14,0.0,1.0,GREY,0.803,1.072,1.75,43.3,39.3,-10.3,S1:- S2:- S3:- S4:- S5:- S6:- | BK1:- BK2:- BK3:- BK4:+
353,20231122,AMGN,867.52348,"2 errors when entering the trade: 1/ I looked at 50-days SMA, but I should have looked at it at close, not at init. ANd this has no meaning during the first 10 minute of the trading day 2/ Trading during the first 30 minutes is not a good idea - too much pressure and artificial prices Moreover I need to define a limit price for the option so I do not buy it if too high- especially for breakout trades.,Finally AMGN popped up so I took some profit off the table, and continued the trade.,NA",0,0,0,long,True,Healthcare,2023-11-22,1.0,0.0,GREY,0.694,0.964,0.66,63.1,50.1,-1.3,S1:- S2:+ S3:- S4:- S5:- S6:- | BK1:- BK2:- BK3:- BK4:-
