TradeNr,Account,TradeDate,Instrument,Pos,Prix,Comm.,Total,Exp.Date,Risk,Reward,PnL,Statut,Currency,Remarques
41,Simu,20220721,"+1 Call @76 +1 Put @73 -1 Put @70",1,12.15,2.0,-1217.0,20.01.2023,1217.0,0.0,0.0,"Fermé",USD,"Bottom head and shoulders for CL! - Idée Where is the Trade - 21.07.2022"
42,Simu,20220721,"+1 Call @158 +1 Put @155 -1 Put @150",1,10.27,2.4,-1029.4,30.12.2022,545.0,0.0,0.0,"Fermé",USD,"Gold: Technical analysis Major support + 2 measured moves completed"
42,Simu,20220808,"+1 Call @158",-1,12.9,1.08,1288.92,NA,0.0,0.0,259.52,"Fermé",USD,"Prise de bénéfice à +30%, Ss-jacent à 165 USD.  Remarque: Date du 30Dec pour le Call trop éloignée"
224,Live,20230403,"SPY 05MAY23 410 C",1,9.98,1.04905,-999.04905,05.05.2023,0.0,0.0,0.0,"Fermé",USD,"This is raised during WITT. Patrick wants to build on the idea that short term (until end of April), market will rise. And then should go down by end of June. Hence the straddle with possible repositioning in the future."
224,Live,20230403,"SPY 30JUN23 410 P",1,12.69,1.04905,-1270.04905,30.06.2023,0.0,0.0,0.0,"Fermé",USD,NA
227,Live,20230406,"OXY 19JAN24 60 P",-2,6.11,0.672756,1221.327244,19.01.2024,0.0,0.0,0.0,"Fermé",USD,NA
227,Live,20230406,"OXY 19MAY23 55 P",2,0.71,0.6581,-142.6581,19.05.2023,0.0,0.0,0.0,"Fermé",USD,"Energy play and W. Buffet's favorite"
224,Live,20230425,"SPY 05MAY23 420 C",-1,1.03,1.052314,101.947686,05.05.2023,0.0,0.0,0.0,"Fermé",USD,"Sell short term 420 Call To pay less for the call that is expensive (interest rates are high)."
224,Live,20230428,"SPY Vertical Spread 05.05.2023 410/420 -1C/1C",1,-5.55,1.756092,553.243908,05.05.2023,0.0,0.0,0.0,"Fermé",USD,"In view of May 4th FOMC meeting, roll the trade beyond May 4th.  So close current May 5th straddle."
250,Simu,20230501,"AMGN 16JUN23 225 C",1,16.4,1.03905,-1641.03905,16.06.2023,0.0,0.0,0.0,"Fermé",USD,NA
250,Simu,20230501,"AMGN 19MAY23 237.5 P",1,3.6,1.04905,-361.04905,19.05.2023,0.0,0.0,0.0,"Fermé",USD,NA
227,Live,20230505,"OXY 19JAN24 60 P",2,6.54,0.6581,-1308.6581,19.01.2024,0.0,0.0,0.0,"Fermé",USD,NA
227,Live,20230505,"OXY 19MAY23 55 P",-2,0.19,0.663284,37.336716,19.05.2023,0.0,0.0,-192.65224,"Fermé",USD,"USO moved below fib pocket. No more potential upside in oil."
255,Live,20230517,"SPY 30JUN23 380 P",-1,1.77,1.502906,175.497094,30.06.2023,0.0,0.0,0.0,"Fermé",USD,"Adjust to SPY trade - SPY going down"
224,Live,20230518,"SPY 30JUN23 410 P",-1,6.18,0.706434,617.293566,30.06.2023,0.0,0.0,-996.57,"Fermé",USD,"Max risk loss due to IV decrease from 17% to 13% (vega approxim. 80 - so 320$ loss) plus theta burn. Opened at SPY spot price 410$, closed at 419$ In total 650$ loss on put side and 350$ loss on call side."
250,Simu,20230518,"AMGN 16JUN23 225 C",-1,4.6,0.66517,459.33483,16.06.2023,0.0,0.0,-183.42564,"Fermé",USD,NA
250,Simu,20230518,"AMGN 19MAY23 237.5 P",-1,13.6,0.67237,1359.32763,19.05.2023,0.0,0.0,0.0,"Fermé",USD,NA
255,Live,20230518,"SPY 18AUG23 415 P",1,11.7,1.53905,-1171.53905,18.08.2023,1171.0,2000.0,0.0,"Fermé",USD,NA
255,Live,20230518,"SPY Vertical Spread 16.06.2023 415/425 1C/-1C",1,5.08,2.172404,-510.172404,16.06.2023,0.0,0.0,0.0,"Fermé",USD,NA
261,Live,20230518,"SPY Vertical Spread 26.05.2023 410/420 -1C/1C",1,-5.79,2.086212,576.913788,26.05.2023,0.0,0.0,-48.84,"Fermé",USD,"Erreur: -48.84$..."
255,Live,20230602,"SPY 21JUL23 400 P",-1,2.28,1.053314,226.946686,21.07.2023,200.0,226.95,0.0,"Fermé",USD,NA
