ticker,sector,date,close,daily_ret,squeeze,vol_dec,vol_surge_x,ret_5d,ret_10d,ret_15d,ret_20d,max_ret,max_dd,year
AA,Basic Materials,2021-09-01,43.48,2.77,0.621,0.861,1.7,4.19,8.36,6.49,7.32,15.02,-2.46,2021
AA,Basic Materials,2023-01-09,48.4,8.43,0.647,0.776,1.59,9.13,5.17,3.92,5.91,14.6,-3.16,2023
AA,Basic Materials,2023-12-01,27.03,3.28,0.559,0.769,1.3,-9.81,12.11,21.74,20.08,26.3,-14.2,2023
AA,Basic Materials,2024-11-06,44.71,6.03,0.416,0.895,2.08,-10.52,0.84,1.15,1.79,5.31,-11.57,2024
AA,Basic Materials,2025-11-26,41.5,6.05,0.607,0.846,1.3,5.87,13.64,15.9,30.5,30.94,-0.65,2025
AA,Basic Materials,2026-01-05,61.34,8.67,0.644,0.895,1.71,6.88,1.11,-2.9,-0.15,8.97,-8.98,2026
AAPL,Technology,2021-06-14,127.3,2.46,0.384,0.85,1.35,1.39,3.3,8.84,11.62,13.01,-1.55,2021
AAPL,Technology,2021-08-30,149.62,3.04,0.508,0.833,1.42,2.33,-3.27,-6.33,-7.32,2.7,-7.74,2021
AAPL,Technology,2021-11-17,150.2,1.65,0.454,0.853,1.37,5.51,6.69,13.73,12.23,18.66,-0.29,2021
AAPL,Technology,2023-03-16,153.62,1.87,0.527,0.884,1.24,1.98,4.18,5.65,6.01,7.05,-1.09,2023
AAPL,Technology,2023-04-27,166.01,2.84,0.363,0.868,1.27,-1.56,3.17,4.09,2.86,4.88,-2.43,2023
AAPL,Technology,2025-10-20,261.74,3.94,0.441,0.898,1.93,2.51,2.6,2.84,2.09,5.75,-2.6,2025
ABBV,Healthcare,2021-10-29,98.1,4.56,0.601,0.808,2.74,2.19,2.01,1.37,1.94,4.06,-0.96,2021
ABBV,Healthcare,2021-12-03,101.67,1.69,0.342,0.832,1.3,5.57,8.99,13.09,13.94,15.13,0.3,2021
ABBV,Healthcare,2023-09-14,140.66,1.64,0.592,0.828,1.59,-0.14,-0.9,-4.03,-2.51,0.81,-5.4,2023
ABBV,Healthcare,2025-09-11,216.9,4.05,0.509,0.878,1.75,0.8,-0.76,7.42,4.75,11.17,-2.68,2025
ABT,Healthcare,2022-12-13,104.68,1.86,0.492,0.803,1.3,-4.52,-3.32,-0.65,0.3,3.73,-5.3,2022
ADBE,Technology,2021-08-19,637.66,1.74,0.41,0.718,1.28,2.31,4.23,3.34,2.64,5.68,-0.49,2021
ADBE,Technology,2021-11-19,688.37,2.59,0.354,0.77,1.79,-0.13,-9.64,-4.37,-20.13,1.62,-21.05,2021
ADBE,Technology,2023-07-31,546.17,3.27,0.505,0.718,1.35,-3.01,-4.38,-4.71,-2.98,1.07,-7.74,2023
ADBE,Technology,2023-08-31,559.34,2.56,0.54,0.773,1.86,0.18,-5.44,-8.3,-8.84,1.95,-10.84,2023
ADM,Agricultural,2022-07-26,70.49,4.36,0.38,0.754,2.16,4.9,4.99,10.22,12.09,12.41,-1.63,2022
ADM,Agricultural,2024-03-12,53.11,3.93,0.172,0.734,2.34,6.94,8.32,9.78,11.95,12.3,0.67,2024
ADM,Agricultural,2024-09-19,59.1,3.17,0.535,0.852,1.97,-4.93,-6.37,-8.26,-6.12,-0.34,-9.0,2024
ADM,Agricultural,2025-05-12,48.2,2.82,0.61,0.651,1.44,0.22,-1.54,-4.28,-1.32,2.97,-5.23,2025
ADM,Agricultural,2025-08-05,56.23,6.0,0.455,0.833,1.99,1.63,4.06,9.96,8.03,12.69,-1.84,2025
ADM,Agricultural,2026-01-06,60.04,1.53,0.547,0.873,1.5,4.78,11.92,11.42,11.32,15.31,-3.85,2026
AEM,Precious Metals,2022-12-13,49.25,3.06,0.512,0.869,1.29,-1.57,-1.57,3.16,4.41,6.15,-5.43,2022
AEM,Precious Metals,2023-01-04,51.69,3.58,0.304,0.846,1.65,-1.69,0.05,2.92,-0.94,4.69,-3.14,2023
