date;estx50;exp_date; ATM_strike; straddle_value
20241028;4964.09;20241129;4975.0;181.3
20241028;4965.83;20241129;4975.0;181.25
20241028;4961.34;20241129;4950.0;183.90
20241028;4948.69;20241129;4950.0;181.65
20241028;4969.83;20241129;4975.0;
20241101;4873.95;20241206;4875.0;197.7
20241104;4877.23;20241206;4875.0;198.6
20241104;4859.68;20241206;4850.0;196.35
20241107;4819.78;20241206;4825.0;158.4
20241111;4872.78;20241213;4875.0;161.89999999999998
20241113;4708.29;20241213;4700.0;171.20000000000002
20241114;4808.4;20241213;4800.0;160.55
20241122;4741.07;20241220;4750.0;170.55
20241202;4846.73;20250103;4845.0;
20241209;4986.99;20250110;4985.0;
20241211;4960.78;20250110;4960.0;
20241216;4947.51;20250117;4950.0;143.55
20241219;4889.73;20250117;4890.0;
20250124;5226.15;20250221;5225.0;152.55
20250203;5221.32;20250307;5220.0;
20250225;5461.17;20250328;5460.0;
20250827;5386.86;20250926;5385.0;
20250827;5385.82;20250926;5385.0;
20250827;5387.07;20250926;5375.0;186.3
20250827;5391.73;20250926;5400.0;181.9
