right,spread_type,short_strike,long_strike,width,net_premium,max_risk,max_reward,reward_risk_ratio,prob_success_delta,prob_success_market,edge,expected_value,width_pts,expiry
C,DEBIT,450.0,445.0,5,-31.999999999999986,31.999999999999986,468.0,14.625000000000007,0.096,0.06399999999999997,0.03200000000000003,16.000000000000018,5,20260529
C,DEBIT,450.0,440.0,10,-69.0,69.0,931.0,13.492753623188406,0.096,0.069,0.026999999999999996,27.0,10,20260529
C,DEBIT,445.0,440.0,5,-37.000000000000014,37.000000000000014,463.0,12.513513513513509,0.11,0.07400000000000002,0.035999999999999976,17.999999999999986,5,20260529
C,DEBIT,445.0,435.0,10,-77.0,77.0,923.0,11.987012987012987,0.11,0.077,0.033,33.0,10,20260529
C,DEBIT,440.0,435.0,5,-39.99999999999999,39.99999999999999,460.0,11.500000000000002,0.124,0.07999999999999999,0.04400000000000001,22.000000000000007,5,20260529
C,DEBIT,440.0,430.0,10,-96.99999999999997,96.99999999999997,903.0,9.309278350515466,0.124,0.09699999999999998,0.027000000000000024,27.000000000000014,10,20260529
C,DEBIT,430.0,425.0,5,-53.00000000000003,53.00000000000003,447.0,8.433962264150939,0.159,0.10600000000000005,0.05299999999999995,26.499999999999986,5,20260529
C,DEBIT,450.0,445.0,5,-54.999999999999986,54.999999999999986,445.0,8.090909090909093,0.16,0.10999999999999997,0.05000000000000003,25.000000000000014,5,20260618
C,DEBIT,435.0,425.0,10,-110.00000000000001,110.00000000000001,890.0,8.09090909090909,0.14,0.11000000000000001,0.03,30.0,10,20260529
C,DEBIT,435.0,430.0,5,-56.999999999999986,56.999999999999986,443.0,7.771929824561405,0.14,0.11399999999999998,0.026000000000000037,13.000000000000014,5,20260529
C,DEBIT,450.0,440.0,10,-119.00000000000004,119.00000000000004,881.0,7.403361344537813,0.16,0.11900000000000004,0.04099999999999997,40.99999999999997,10,20260618
C,DEBIT,430.0,420.0,10,-127.50000000000003,127.50000000000003,872.5,6.84313725490196,0.159,0.12750000000000003,0.03149999999999997,31.49999999999997,10,20260529
C,DEBIT,445.0,440.0,5,-64.00000000000006,64.00000000000006,435.99999999999994,6.812499999999993,0.175,0.1280000000000001,0.046999999999999875,23.499999999999936,5,20260618
C,DEBIT,445.0,435.0,10,-132.50000000000003,132.50000000000003,867.5,6.547169811320753,0.175,0.13250000000000003,0.042499999999999954,42.499999999999986,10,20260618
C,DEBIT,440.0,435.0,5,-68.49999999999996,68.49999999999996,431.50000000000006,6.299270072992705,0.191,0.13699999999999993,0.054000000000000076,27.00000000000005,5,20260618
C,DEBIT,440.0,430.0,10,-146.0,146.0,854.0,5.8493150684931505,0.191,0.146,0.04500000000000001,45.000000000000014,10,20260618
C,DEBIT,425.0,420.0,5,-74.50000000000001,74.50000000000001,425.5,5.711409395973154,0.177,0.14900000000000002,0.02799999999999997,13.999999999999986,5,20260529
C,DEBIT,425.0,415.0,10,-149.5,149.5,850.5,5.688963210702341,0.177,0.1495,0.027499999999999997,27.5,10,20260529
C,DEBIT,420.0,415.0,5,-75.0,75.0,425.0,5.666666666666667,0.204,0.15,0.05399999999999999,26.999999999999986,5,20260529
C,DEBIT,435.0,430.0,5,-77.50000000000003,77.50000000000003,422.5,5.451612903225804,0.21,0.15500000000000005,0.05499999999999994,27.49999999999997,5,20260618
C,DEBIT,435.0,425.0,10,-162.50000000000009,162.50000000000009,837.4999999999999,5.153846153846151,0.21,0.1625000000000001,0.0474999999999999,47.499999999999886,10,20260618
C,DEBIT,430.0,425.0,5,-85.00000000000006,85.00000000000006,414.99999999999994,4.882352941176467,0.229,0.17000000000000012,0.058999999999999886,29.499999999999957,5,20260618
C,DEBIT,420.0,410.0,10,-172.49999999999997,172.49999999999997,827.5,4.797101449275363,0.204,0.17249999999999996,0.03150000000000003,31.50000000000003,10,20260529
C,DEBIT,430.0,420.0,10,-174.99999999999991,174.99999999999991,825.0000000000001,4.714285714285717,0.229,0.1749999999999999,0.054000000000000103,54.000000000000114,10,20260618
C,DEBIT,425.0,420.0,5,-89.99999999999986,89.99999999999986,410.0000000000001,4.555555555555564,0.249,0.17999999999999972,0.06900000000000028,34.50000000000014,5,20260618
C,DEBIT,415.0,410.0,5,-97.49999999999997,97.49999999999997,402.5,4.1282051282051295,0.228,0.19499999999999995,0.03300000000000006,16.50000000000003,5,20260529
C,DEBIT,425.0,415.0,10,-200.0,200.0,800.0,4.0,0.249,0.2,0.04899999999999999,49.0,10,20260618
C,DEBIT,415.0,405.0,10,-208.5,208.5,791.5,3.7961630695443644,0.228,0.2085,0.019500000000000017,19.5,10,20260529
C,DEBIT,420.0,415.0,5,-110.00000000000014,110.00000000000014,389.9999999999999,3.5454545454545396,0.273,0.22000000000000028,0.05299999999999974,26.499999999999872,5,20260618
C,DEBIT,410.0,405.0,5,-111.00000000000003,111.00000000000003,389.0,3.504504504504504,0.26,0.22200000000000006,0.03799999999999995,18.999999999999986,5,20260529
C,DEBIT,420.0,410.0,10,-237.5,237.5,762.5,3.210526315789474,0.273,0.2375,0.03550000000000003,35.50000000000003,10,20260618
C,DEBIT,410.0,400.0,10,-247.50000000000006,247.50000000000006,752.5,3.0404040404040398,0.26,0.24750000000000005,0.012499999999999956,12.499999999999972,10,20260529
C,DEBIT,415.0,410.0,5,-127.49999999999986,127.49999999999986,372.5000000000001,2.9215686274509847,0.298,0.2549999999999997,0.04300000000000026,21.500000000000128,5,20260618
C,DEBIT,415.0,405.0,10,-264.9999999999999,264.9999999999999,735.0000000000001,2.773584905660379,0.298,0.2649999999999999,0.033000000000000085,33.000000000000114,10,20260618
C,DEBIT,400.0,395.0,5,-134.99999999999997,134.99999999999997,365.0,2.703703703703704,0.327,0.26999999999999996,0.05700000000000005,28.500000000000014,5,20260529
C,DEBIT,405.0,395.0,10,-271.5,271.5,728.5,2.6832412523020257,0.289,0.2715,0.01749999999999996,17.49999999999997,10,20260529
C,DEBIT,405.0,400.0,5,-136.50000000000003,136.50000000000003,363.5,2.6630036630036624,0.289,0.2730000000000001,0.015999999999999903,7.999999999999957,5,20260529
C,DEBIT,410.0,405.0,5,-137.5,137.5,362.5,2.6363636363636362,0.324,0.275,0.04899999999999999,24.500000000000014,5,20260618
C,DEBIT,410.0,400.0,10,-287.5,287.5,712.5,2.4782608695652173,0.324,0.2875,0.03650000000000003,36.5,10,20260618
C,DEBIT,405.0,400.0,5,-150.0,150.0,350.0,2.3333333333333335,0.352,0.3,0.05199999999999999,25.999999999999986,5,20260618
C,DEBIT,400.0,395.0,5,-165.00000000000023,165.00000000000023,334.9999999999998,2.0303030303030263,0.382,0.33000000000000046,0.05199999999999955,25.999999999999773,5,20260618
C,DEBIT,390.0,385.0,5,-175.0,175.0,325.0,1.8571428571428572,0.406,0.35,0.05600000000000005,28.00000000000003,5,20260529
C,DEBIT,395.0,390.0,5,-182.49999999999994,182.49999999999994,317.50000000000006,1.7397260273972612,0.363,0.3649999999999999,-0.0019999999999998908,-0.9999999999999574,5,20260529
C,DEBIT,395.0,390.0,5,-185.99999999999994,185.99999999999994,314.00000000000006,1.6881720430107534,0.413,0.3719999999999999,0.04100000000000009,20.500000000000057,5,20260618
C,DEBIT,390.0,385.0,5,-191.0,191.0,309.0,1.617801047120419,0.445,0.382,0.063,31.500000000000014,5,20260618
C,DEBIT,385.0,380.0,5,-200.0,200.0,300.0,1.5,0.445,0.4,0.044999999999999984,22.500000000000014,5,20260529
C,DEBIT,385.0,380.0,5,-225.4999999999999,225.4999999999999,274.5000000000001,1.2172949002217306,0.477,0.4509999999999998,0.02600000000000019,13.000000000000114,5,20260618
C,DEBIT,380.0,375.0,5,-227.49999999999986,227.49999999999986,272.5000000000001,1.197802197802199,0.511,0.45499999999999974,0.05600000000000027,28.000000000000128,5,20260618
C,DEBIT,375.0,370.0,5,-244.99999999999994,244.99999999999994,255.00000000000006,1.0408163265306127,0.533,0.4899999999999999,0.04300000000000015,21.500000000000085,5,20260529
C,DEBIT,380.0,375.0,5,-250.0,250.0,250.0,1.0,0.489,0.5,-0.01100000000000001,-5.5,5,20260529
C,DEBIT,375.0,370.0,5,-255.00000000000006,255.00000000000006,244.99999999999994,0.9607843137254898,0.545,0.5100000000000001,0.03499999999999992,17.499999999999957,5,20260618
C,DEBIT,365.0,360.0,5,-268.9999999999998,268.9999999999998,231.00000000000023,0.8587360594795554,0.612,0.5379999999999996,0.0740000000000004,37.00000000000021,5,20260618
C,DEBIT,360.0,355.0,5,-275.0,275.0,225.0,0.8181818181818182,0.663,0.55,0.11299999999999999,56.500000000000014,5,20260529
C,DEBIT,370.0,365.0,5,-284.0,284.0,216.0,0.7605633802816901,0.579,0.568,0.01100000000000001,5.499999999999986,5,20260618
C,DEBIT,370.0,365.0,5,-287.5,287.5,212.5,0.7391304347826086,0.577,0.575,0.0020000000000000018,0.9999999999999858,5,20260529
