strike,value,bid,ask,last,spread,impliedvol,delta,expiration,right,mid
280,34.275,33.45,35.1,,0.04814,0.3128,0.933,20260515,C,34.275000000000006
285,29.775,28.8,30.75,,0.06549,0.3005,0.907,20260515,C,29.775
290,25.275,24.3,26.25,,0.07715,0.2889,0.87,20260515,C,25.275
295,21.05,20.4,21.7,,0.06176,0.2781,0.822,20260515,C,21.049999999999997
300,16.85,16.05,17.65,,0.09496,0.268,0.76,20260515,C,16.85
305,13.2,12.65,13.75,,0.08333,0.2585,0.683,20260515,C,13.2
310,9.85,9.6,10.1,,0.05076,0.2496,0.591,20260515,C,9.85
315,6.975,6.8,7.15,,0.05018,0.2413,0.489,20260515,C,6.975
320,4.775,4.6,4.95,,0.0733,0.2338,0.382,20260515,C,4.775
325,3.08,2.91,3.25,,0.11039,0.2274,0.281,20260515,C,3.08
330,1.835,1.71,1.96,,0.13624,0.2225,0.192,20260515,C,1.835
335,0.995,0.9,1.09,,0.19095,0.2194,0.124,20260515,C,0.9950000000000001
340,0.53,0.45,0.61,,0.30189,0.2181,0.076,20260515,C,0.53
345,0.265,0.22,0.31,,0.33962,0.2187,0.045,20260515,C,0.265
350,0.165,0.11,0.22,,0.66667,0.2209,0.025,20260515,C,0.165
280,0.795,0.73,0.86,,0.16352,0.3128,-0.067,20260515,P,0.7949999999999999
285,1.155,0.99,1.32,,0.28571,0.3005,-0.094,20260515,P,1.155
290,1.54,1.5,1.58,,0.05195,0.2889,-0.13,20260515,P,1.54
295,2.235,2.08,2.39,,0.1387,0.2781,-0.179,20260515,P,2.2350000000000003
300,3.07,2.99,3.15,,0.05212,0.268,-0.241,20260515,P,3.0700000000000003
305,4.45,4.2,4.7,,0.11236,0.2585,-0.319,20260515,P,4.45
310,6.125,5.75,6.5,,0.12245,0.2496,-0.412,20260515,P,6.125
315,8.15,7.55,8.75,,0.14724,0.2413,-0.517,20260515,P,8.15
320,10.9,10.6,11.2,,0.05505,0.2338,-0.626,20260515,P,10.899999999999999
325,14.5,13.65,15.35,,0.11724,0.2274,-0.731,20260515,P,14.5
330,18.15,17.0,19.3,,0.12672,0.2225,-0.822,20260515,P,18.15
335,22.65,21.45,23.85,,0.10596,0.2194,-0.896,20260515,P,22.65
340,,,,,,,,20260515,P,
345,,,,,,,,20260515,P,
350,,,,,,,,20260515,P,
