strike,value,bid,ask,last,spread,impliedvol,delta,expiration,right
280,33.35,31.65,35.05,,0.10195,,,20260501,C
285,28.1,26.8,29.4,,0.09253,0.3342,0.968,20260501,C
290,23.55,22.65,24.45,,0.07643,0.3155,0.945,20260501,C
295,18.9,18.0,19.8,,0.09524,0.2986,0.906,20260501,C
300,14.45,13.95,14.95,,0.0692,0.2834,0.843,20260501,C
305,10.675,10.2,11.15,,0.08899,0.2697,0.747,20260501,C
310,6.85,6.5,7.2,,0.10219,0.257,0.615,20260501,C
315,4.025,3.9,4.15,,0.06211,0.2455,0.457,20260501,C
320,2.06,1.98,2.14,,0.07767,0.2357,0.294,20260501,C
325,0.865,0.77,0.96,,0.21965,,,20260501,C
330,0.35,0.32,0.38,,0.17143,,,20260501,C
335,0.145,0.12,0.17,,0.34483,0.2293,0.033,20260501,C
340,0.07,0.04,0.1,,0.85714,0.2361,0.014,20260501,C
345,0.05,,0.15,,,0.2455,0.007,20260501,C
350,0.04,,0.07,,,0.2564,0.003,20260501,C
280,0.095,0.03,0.16,,1.36842,0.3546,-0.02,20260501,P
285,0.19,0.16,0.22,,0.31579,0.3342,-0.032,20260501,P
290,0.35,0.29,0.41,,0.34286,0.3155,-0.055,20260501,P
295,0.675,0.6,0.75,,0.22222,0.2986,-0.094,20260501,P
300,1.145,1.05,1.24,,0.16594,0.2834,-0.157,20260501,P
305,1.965,1.83,2.1,,0.1374,0.2697,-0.253,20260501,P
310,3.5,3.35,3.65,,0.08571,0.257,-0.387,20260501,P
315,5.775,5.5,6.05,,0.09524,0.2455,-0.548,20260501,P
320,8.9,8.25,9.55,,0.14607,0.2357,-0.711,20260501,P
325,12.8,11.9,13.7,,0.14062,0.2289,-0.848,20260501,P
330,17.375,16.4,18.35,,0.11223,0.2267,-0.936,20260501,P
335,22.1,20.85,23.35,,0.11312,0.2293,-0.983,20260501,P
340,27.4,26.05,28.75,,0.09854,0.2361,-1.0,20260501,P
345,32.325,31.15,33.5,,0.0727,0.2455,-1.0,20260501,P
350,37.05,35.35,38.75,,0.09177,0.2564,-1.0,20260501,P
280,35.2,33.9,36.5,,0.07386,0.3012,0.915,20260522,C
285,30.375,29.35,31.4,,0.06749,0.2883,0.887,20260522,C
290,25.9,24.9,26.9,,0.07722,0.2763,0.851,20260522,C
295,21.475,20.75,22.2,,0.06752,0.2656,0.804,20260522,C
300,18.075,17.5,18.65,,0.06362,0.2562,0.744,20260522,C
305,14.225,13.75,14.7,,0.06678,0.2483,0.671,20260522,C
310,11.025,10.8,11.25,,0.04082,0.2416,0.586,20260522,C
315,8.15,8.0,8.3,,0.03681,,,20260522,C
320,5.825,5.65,6.0,,0.06009,,,20260522,C
325,3.975,3.8,4.15,,0.08805,0.2235,0.305,20260522,C
330,2.53,2.42,2.64,,0.08696,0.2184,0.222,20260522,C
335,1.495,1.36,1.63,,0.1806,0.2153,0.156,20260522,C
340,0.84,0.69,0.99,,0.35714,0.215,0.103,20260522,C
345,0.5,0.41,0.59,,0.36,0.218,0.069,20260522,C
350,0.285,0.17,0.4,,0.80702,0.2241,0.048,20260522,C
280,1.205,1.02,1.39,,0.30705,0.3012,-0.086,20260522,P
285,1.5,1.38,1.62,,0.16,0.2883,-0.112,20260522,P
290,2.04,1.92,2.16,,0.11765,0.2763,-0.148,20260522,P
295,2.805,2.68,2.93,,0.08913,0.2656,-0.195,20260522,P
300,3.825,3.65,4.0,,0.0915,0.2562,-0.255,20260522,P
305,5.175,5.0,5.35,,0.06763,0.2483,-0.332,20260522,P
310,6.9,6.7,7.1,,0.05797,0.2416,-0.419,20260522,P
315,9.3,8.7,9.9,,0.12903,0.2356,-0.513,20260522,P
320,11.775,11.5,12.05,,0.04671,0.2295,-0.607,20260522,P
325,15.025,14.2,15.85,,0.10982,0.2235,-0.704,20260522,P
330,18.875,17.6,20.15,,0.1351,0.2184,-0.795,20260522,P
335,22.825,21.85,23.8,,0.08543,0.2153,-0.868,20260522,P
340,27.5,26.3,28.7,,0.08727,0.215,-0.924,20260522,P
345,32.325,31.15,33.5,,0.0727,0.218,-0.963,20260522,P
350,36.95,34.95,38.95,,0.10825,0.2241,-0.988,20260522,P
280,37.125,36.0,38.25,,0.06061,0.2845,0.866,20260618,C
285,33.1,32.3,33.9,,0.04834,0.2766,0.834,20260618,C
290,28.95,27.8,30.1,,0.07945,0.2691,0.795,20260618,C
295,25.025,23.75,26.3,,0.1019,0.2619,0.754,20260618,C
300,21.325,20.55,22.1,,0.07268,0.2551,0.704,20260618,C
305,17.6,16.9,18.3,,0.07955,0.2486,0.647,20260618,C
310,14.725,14.45,15.0,,0.03735,0.2425,0.586,20260618,C
315,11.875,11.65,12.1,,0.03789,,,20260618,C
320,9.25,9.0,9.5,,0.05405,,,20260618,C
325,7.0,6.55,7.45,,0.12857,0.2262,0.38,20260618,C
330,5.275,5.05,5.5,,0.08531,0.2217,0.313,20260618,C
335,3.975,3.75,4.2,,0.11321,0.2179,0.25,20260618,C
340,2.64,2.44,2.84,,0.15152,0.2148,0.195,20260618,C
345,1.885,1.73,2.04,,0.16446,0.2125,0.148,20260618,C
350,1.27,1.19,1.35,,0.12598,0.211,0.111,20260618,C
280,2.73,2.5,2.96,,0.1685,0.2845,-0.135,20260618,P
285,3.425,3.2,3.65,,0.13139,0.2766,-0.167,20260618,P
290,4.2,4.0,4.4,,0.09524,0.2691,-0.205,20260618,P
295,5.175,4.95,5.4,,0.08696,0.2619,-0.248,20260618,P
300,6.4,6.2,6.6,,0.0625,0.2551,-0.3,20260618,P
305,8.025,7.7,8.35,,0.081,0.2486,-0.358,20260618,P
310,9.925,9.5,10.35,,0.08564,0.2425,-0.421,20260618,P
315,12.1,11.6,12.6,,0.08264,0.2366,-0.49,20260618,P
320,14.2,13.55,14.85,,0.09155,0.2312,-0.563,20260618,P
325,17.15,16.25,18.05,,0.10496,0.2262,-0.635,20260618,P
330,20.55,19.7,21.4,,0.08273,0.2217,-0.708,20260618,P
335,24.525,23.55,25.5,,0.07951,0.2179,-0.777,20260618,P
340,28.65,27.4,29.9,,0.08726,0.2148,-0.838,20260618,P
345,32.725,31.75,33.7,,0.05959,0.2125,-0.891,20260618,P
350,37.125,36.25,38.0,,0.04714,0.211,-0.936,20260618,P
280,42.275,41.35,43.2,,0.04376,0.2864,0.791,20260821,C
290,33.925,32.55,35.3,,0.08106,0.275,0.73,20260821,C
300,26.75,25.75,27.75,,0.07477,0.2642,0.658,20260821,C
310,21.075,20.85,21.3,,0.02135,0.2541,0.576,20260821,C
320,15.65,15.4,15.9,,0.03195,0.2447,0.489,20260821,C
330,11.225,11.0,11.45,,0.04009,0.2361,0.398,20260821,C
340,7.75,7.55,7.95,,0.05161,0.2285,0.309,20260821,C
350,5.075,4.9,5.25,,0.06897,0.222,0.228,20260821,C
280,6.7,6.5,6.9,,0.0597,0.2864,-0.212,20260821,P
290,8.975,8.75,9.2,,0.05014,0.275,-0.274,20260821,P
300,11.85,11.7,12.0,,0.02532,0.2642,-0.347,20260821,P
310,15.55,15.35,15.75,,0.02572,0.2541,-0.431,20260821,P
320,20.2,19.4,21.0,,0.07921,0.2447,-0.522,20260821,P
330,25.775,24.95,26.6,,0.06402,0.2361,-0.618,20260821,P
340,32.475,31.15,33.8,,0.0816,0.2285,-0.71,20260821,P
350,39.65,38.5,40.8,,0.05801,0.222,-0.794,20260821,P
